method;p
tvla_t_1;0.04131635424486045
tvla_t_2;0.014040738035907637
tvla_rho;0.04233438046991855
dlla_open;0.9707041206855651
dlla_wegener;0.12147625365831527
tvla_t_1;0.009417145849305494
tvla_t_2;0.01377470686671255
tvla_rho;0.02822525598572634
dlla_open;0.2142691344221365
dlla_wegener;0.6045668184380701
tvla_t_1;0.020079369911381543
tvla_t_2;0.02347293272947975
tvla_rho;0.03461107125893825
dlla_open;0.7975539416300521
dlla_wegener;0.2765637227243004
tvla_t_1;0.00810782883335142
tvla_t_2;0.02059440888688326
tvla_rho;0.03518186229550824
dlla_open;0.8183011801001897
dlla_wegener;0.3179794242402168
tvla_t_1;0.023746121814665115
tvla_t_2;0.02713726808748
tvla_rho;0.030859300275614787
dlla_open;0.7819073711934106
dlla_wegener;0.6055871405659928
tvla_t_1;0.019678441982789698
tvla_t_2;0.033650594909773034
tvla_rho;0.05362959990822902
dlla_open;0.1312097650166238
dlla_wegener;0.9219205972796594
tvla_t_1;0.026785814955006284
tvla_t_2;0.010941361213787209
tvla_rho;0.02588050697628952
dlla_open;0.3925809316291644
dlla_wegener;0.6440065221013309
tvla_t_1;0.04486920502607254
tvla_t_2;0.021429398565913468
tvla_rho;0.04171540440279675
dlla_open;0.3706640662595073
dlla_wegener;0.5648586138594821
tvla_t_1;0.03696536089456024
tvla_t_2;0.0029668003453055306
tvla_rho;0.020540235953851793
dlla_open;0.20814745196780307
dlla_wegener;0.604351999894265
tvla_t_1;0.02909918130566834
tvla_t_2;0.018928090976260126
tvla_rho;0.029544439580172943
dlla_open;0.46562847105988103
dlla_wegener;0.1588227077200609
tvla_t_1;0.03373876083775972
tvla_t_2;0.0312865536007547
tvla_rho;0.042605348781801666
dlla_open;0.921388416508236
dlla_wegener;0.8403434878863246
tvla_t_1;0.02608575005603162
tvla_t_2;0.01957022381585961
tvla_rho;0.017367866808962962
dlla_open;0.06231060881839899
dlla_wegener;0.11606774394752611
tvla_t_1;0.031612616157994204
tvla_t_2;0.05347386081661037
tvla_rho;0.010932742596957201
dlla_open;0.6202812826151698
dlla_wegener;0.8539122844830036
tvla_t_1;0.04677346156180336
tvla_t_2;0.0376576254924859
tvla_rho;0.058129316840116685
dlla_open;0.23837764195575023
dlla_wegener;0.26296872407957433
tvla_t_1;0.014642849159014822
tvla_t_2;0.04193712292932381
tvla_rho;0.02256764918481502
dlla_open;0.4957167087581079
dlla_wegener;0.9340149357880265
tvla_t_1;0.03345898485971991
tvla_t_2;0.02963993626049229
tvla_rho;0.030692142976159964
dlla_open;0.14932803425471655
dlla_wegener;0.9259553232365281
tvla_t_1;0.01585680811549724
tvla_t_2;0.03425284644862812
tvla_rho;0.0271426468737892
dlla_open;0.4964520155813035
dlla_wegener;0.20848170458409132
tvla_t_1;0.016131427975101666
tvla_t_2;0.0037031337902749422
tvla_rho;0.024851292856670648
dlla_open;0.7915440178983498
dlla_wegener;0.9028452206619134
tvla_t_1;0.03703635561353158
tvla_t_2;0.05862255469033375
tvla_rho;0.02996630308451853
dlla_open;0.2795985201092227
