method;p
tvla_t_1;0.040498112642694144
tvla_t_2;0.024909882490187354
tvla_rho;0.0275393701870692
dlla_open;0.33308520513303486
dlla_wegener;0.6834379800506589
tvla_t_1;0.004903161037727258
tvla_t_2;0.02536372519786644
tvla_rho;0.014350743256715814
dlla_open;0.09453012549687663
dlla_wegener;0.8004624017258815
tvla_t_1;0.01626181367630544
tvla_t_2;0.02904092432506489
tvla_rho;0.0016037070707612955
dlla_open;0.79031269860733
dlla_wegener;0.7842871056027394
tvla_t_1;0.02103290183391123
tvla_t_2;0.021069882916175564
tvla_rho;0.03026265624067981
dlla_open;0.3461460425951276
dlla_wegener;0.5
tvla_t_1;0.028527101717335905
tvla_t_2;0.01604263399592252
tvla_rho;0.0249009664582307
dlla_open;0.6265575413645028
dlla_wegener;0.21697190814893358
tvla_t_1;0.046987280356126954
tvla_t_2;0.016894334725162368
tvla_rho;0.0029979691763217797
dlla_open;0.4794988830174802
dlla_wegener;0.5422976100518809
tvla_t_1;0.03361065557775587
tvla_t_2;0.01126136688458198
tvla_rho;0.05347657830615482
dlla_open;0.7329413739076824
dlla_wegener;0.8022792090665164
tvla_t_1;0.008393950163242334
tvla_t_2;0.0053045387018927715
tvla_rho;0.016506973890451526
dlla_open;0.0514210556638886
dlla_wegener;0.8413447460685429
tvla_t_1;0.01175390976940053
tvla_t_2;0.03497574448580065
tvla_rho;0.0090892007217509
dlla_open;0.74082901483534
dlla_wegener;0.1447419947561382
tvla_t_1;0.021558443843744887
tvla_t_2;0.026058338037620265
tvla_rho;0.011615302066940947
dlla_open;0.6187444107547835
dlla_wegener;0.478776465944384
tvla_t_1;0.03709005842839636
tvla_t_2;0.012577493130180558
tvla_rho;0.016852832554078656
dlla_open;0.1421992865652486
dlla_wegener;0.1272008101566326
tvla_t_1;0.009654545827959585
tvla_t_2;0.04145257532404139
tvla_rho;0.01860353249831137
dlla_open;0.004641604224946672
dlla_wegener;0.7527802434089131
tvla_t_1;0.028361656545218605
tvla_t_2;0.011018938122860459
tvla_rho;0.01091963693996556
dlla_open;0.694938068585899
dlla_wegener;0.9142616681858711
tvla_t_1;0.04536501020311393
tvla_t_2;0.016912273526431956
tvla_rho;0.04366112964830404
dlla_open;0.8302376718900792
dlla_wegener;0.45787957262136164
tvla_t_1;0.023707624076104807
tvla_t_2;0.00764106714468405
tvla_rho;0.05359273240406304
dlla_open;0.32673811353338766
dlla_wegener;0.243876015824517
tvla_t_1;0.027616974129747222
tvla_t_2;0.024631821866841073
tvla_rho;0.009225223604103716
dlla_open;0.06673587358542503
