method;pollution;param;p
tvla_t_1;desync;30;4.79960943380477e-06
tvla_t_2;desync;30;0.005468661126953084
tvla_t_3;desync;30;0.18756443994112287
dlla9;desync;30;1.9065100350421003e-85
dlla2;desync;30;6.539111265923046e-28
tvla_t_1;desync;0;2.554890755296906e-05
tvla_t_2;desync;0;0.022107695746720363
tvla_t_3;desync;0;0.12830875666791974
dlla9;desync;0;2.0517077316884448e-70
dlla2;desync;0;8.56013109279715e-31
tvla_t_1;desync;10;1.6305210036486637e-05
tvla_t_2;desync;10;5.4634076659750785e-05
tvla_t_3;desync;10;0.2689029229239041
dlla9;desync;10;7.129362937971657e-95
dlla2;desync;10;1.2837182514006398e-23
tvla_t_1;desync;20;6.596771856339946e-07
tvla_t_2;desync;20;0.00017795727047378057
tvla_t_3;desync;20;0.31191618159312945
dlla9;desync;20;5.704650799451502e-84
dlla2;desync;20;7.631035392387248e-29
tvla_t_1;desync;30;5.210371466968864e-06
tvla_t_2;desync;30;0.005291718579580158
tvla_t_3;desync;30;0.267416235549351
dlla9;desync;30;3.7959949275974485e-84
dlla2;desync;30;5.274717307939764e-27
tvla_t_1;desync;40;1.9758066693983743e-05
tvla_t_2;desync;40;0.0019443965136483323
tvla_t_3;desync;40;0.11740610799783484
dlla9;desync;40;1.971921056578305e-86
dlla2;desync;40;8.357321845233381e-30
tvla_t_1;desync;50;3.8579179947727853e-07
tvla_t_2;desync;50;7.044792782021386e-05
tvla_t_3;desync;50;0.2904995077241916
dlla9;desync;50;2.6266948001433825e-65
dlla2;desync;50;8.56013109279715e-31
tvla_t_1;desync;60;0.000117067227028452
tvla_t_2;desync;60;0.0023135930638657704
tvla_t_3;desync;60;0.3113257820834781
dlla9;desync;60;2.310643440120107e-76
dlla2;desync;60;4.016180397710895e-26
tvla_t_1;desync;70;3.8569059077326895e-07
tvla_t_2;desync;70;0.0007853623851082886
tvla_t_3;desync;70;0.2732504747421134
dlla9;desync;70;3.882469538328648e-65
dlla2;desync;70;4.016180397710895e-26
tvla_t_1;desync;80;5.793709648303429e-06
tvla_t_2;desync;80;0.013654174874122252
tvla_t_3;desync;80;0.30126990168421863
dlla9;desync;80;1.070333698019817e-87
dlla2;desync;80;7.229788288431756e-33
tvla_t_1;desync;90;0.0006438358458251412
tvla_t_2;desync;90;8.47644881711042e-05
tvla_t_3;desync;90;0.1397207790433275
dlla9;desync;90;4.2883237964445675e-55
dlla2;desync;90;8.357321845233381e-30
tvla_t_1;desync;100;0.0014341063833774865
tvla_t_2;desync;100;0.00010633558586714449
tvla_t_3;desync;100;0.2839379297131548
dlla9;desync;100;7.543051050299301e-76
dlla2;desync;100;1.2837182514006398e-23
tvla_t_1;desync;110;0.00024117992810359596
tvla_t_2;desync;110;0.0017271400866371227
tvla_t_3;desync;110;0.12851225556566018
dlla9;desync;110;3.67253607654254e-50
dlla2;desync;110;4.348168232243354e-18
tvla_t_1;desync;120;2.2320380803880093e-06
tvla_t_2;desync;120;0.0005646426977542806
tvla_t_3;desync;120;0.19241363259250727
dlla9;desync;120;8.026542702339139e-103
dlla2;desync;120;6.539111265923046e-28
tvla_t_1;desync;130;2.1963900347650706e-05
tvla_t_2;desync;130;0.005597106749872224
tvla_t_3;desync;130;0.3621201455803782
dlla9;desync;130;2.0114081025027495e-57
dlla2;desync;130;2.634266706626876e-21
tvla_t_1;desync;140;1.7035416991357973e-05
tvla_t_2;desync;140;0.00023525758706207354
tvla_t_3;desync;140;0.3255457150887372
dlla9;desync;140;2.4513821166518466e-64
dlla2;desync;140;8.56013109279715e-31
tvla_t_1;desync;150;0.000559056393964567
tvla_t_2;desync;150;0.0009004043993354966
tvla_t_3;desync;150;0.11720051041845683
dlla9;desync;150;1.8279130744019392e-74
dlla2;desync;150;4.348168232243354e-18
tvla_t_1;desync;160;0.00320216901143149
tvla_t_2;desync;160;0.0010499072348337515
tvla_t_3;desync;160;0.3416735910497284
dlla9;desync;160;1.2724151934478592e-77
dlla2;desync;160;2.8183373258102743e-14
tvla_t_1;desync;170;0.0002486645385210207
tvla_t_2;desync;170;0.0011406182910525713
tvla_t_3;desync;170;0.23424028816354972
dlla9;desync;170;6.182868844699445e-72
dlla2;desync;170;4.678213980123568e-22
tvla_t_1;desync;180;0.0007977903796552367
tvla_t_2;desync;180;0.0005747703546166324
tvla_t_3;desync;180;0.1652312183508419
dlla9;desync;180;5.693243710727905e-57
dlla2;desync;180;4.678213980123568e-22
tvla_t_1;desync;190;2.024377023078081e-05
tvla_t_2;desync;190;0.03761365207589071
tvla_t_3;desync;190;0.2709779961667139
dlla9;desync;190;9.354974894924742e-56
dlla2;desync;190;7.530967643331262e-16
tvla_t_1;desync;200;0.013205084331030802
tvla_t_2;desync;200;0.008051676789586714
tvla_t_3;desync;200;0.1352346580292296
dlla9;desync;200;1.7111681604113097e-57
dlla2;desync;200;5.994337781406746e-17
tvla_t_1;desync;210;0.00021017628317733958
tvla_t_2;desync;210;0.00014219415286425595
tvla_t_3;desync;210;0.22645829946625287
dlla9;desync;210;4.994949039474096e-56
dlla2;desync;210;7.319848533007142e-20
tvla_t_1;desync;220;7.232953387824548e-05
tvla_t_2;desync;220;0.00010281766849685217
tvla_t_3;desync;220;0.3120089841629905
dlla9;desync;220;5.668905220006683e-72
dlla2;desync;220;1.418864168590377e-20
tvla_t_1;desync;230;0.00014509069234149529
tvla_t_2;desync;230;0.04191994325899925
tvla_t_3;desync;230;0.28673370104086077
dlla9;desync;230;4.753200350929274e-58
dlla2;desync;230;2.8935528018547396e-25
tvla_t_1;desync;240;1.3057009407994863e-05
tvla_t_2;desync;240;0.004848587376306
tvla_t_3;desync;240;0.2498950317915196
dlla9;desync;240;2.5290745516850547e-52
dlla2;desync;240;9.000294264246431e-14
tvla_t_1;desync;250;0.0025509896341649047
tvla_t_2;desync;250;0.009835726884741132
tvla_t_3;desync;250;0.189173870979046
dlla9;desync;250;1.0404587985221768e-75
dlla2;desync;250;4.016180397710895e-26
tvla_t_1;desync;260;0.000666604049886107
tvla_t_2;desync;260;0.0007172652414404495
tvla_t_3;desync;260;0.05579626839277862
dlla9;desync;260;5.74096257104919e-53
dlla2;desync;260;2.634266706626876e-21
tvla_t_1;desync;270;9.03796518143279e-05
tvla_t_2;desync;270;0.00442593355729684
tvla_t_3;desync;270;0.2317785277520347
dlla9;desync;270;3.094827512530189e-70
dlla2;desync;270;7.530967643331262e-16
tvla_t_1;desync;280;3.9731209449877834e-05
tvla_t_2;desync;280;0.011723516568797105
tvla_t_3;desync;280;0.2831965369417616
dlla9;desync;280;9.128204272198315e-99
dlla2;desync;280;1.977074732687665e-24
tvla_t_1;desync;290;0.002334728761076138
tvla_t_2;desync;290;8.30117875629456e-05
tvla_t_3;desync;290;0.3396611086346142
dlla9;desync;290;1.1543714243503592e-56
dlla2;desync;290;2.634266706626876e-21
tvla_t_1;desync;300;0.008173176260984637
tvla_t_2;desync;300;2.9421593038263928e-05
tvla_t_3;desync;300;0.18215390319791555
dlla9;desync;300;4.203187528231851e-56
dlla2;desync;300;2.1494843094368953e-16
tvla_t_1;desync;310;0.00016522375600272376
tvla_t_2;desync;310;0.007068078485108004
tvla_t_3;desync;310;0.3914760076240954
dlla9;desync;310;1.3353601766317164e-59
dlla2;desync;310;1.418864168590377e-20
tvla_t_1;desync;0;6.371277274755233e-13
tvla_t_2;desync;0;0.0005805518631731136
tvla_t_3;desync;0;0.18980087369150284
dlla9;desync;0;9.882215837747281e-111
dlla2;desync;0;1.687066037622009e-36
tvla_t_1;desync;10;3.164817394227211e-13
tvla_t_2;desync;10;0.001896477025316898
tvla_t_3;desync;10;0.21155683699075362
dlla9;desync;10;6.711356046544326e-131
dlla2;desync;10;3.875653464973821e-47
tvla_t_1;desync;20;7.890846119564577e-13
tvla_t_2;desync;20;0.0009011955067026726
tvla_t_3;desync;20;0.19852505168841336
dlla9;desync;20;2.944890439458444e-116
dlla2;desync;20;5.9804714475054456e-36
tvla_t_1;desync;30;3.8943255376531504e-13
tvla_t_2;desync;30;0.001343436777785906
tvla_t_3;desync;30;0.19829655285322914
dlla9;desync;30;6.458732435394121e-123
dlla2;desync;30;7.292286385569014e-35
tvla_t_1;desync;40;2.669825212661081e-12
tvla_t_2;desync;40;0.00036681111742458463
tvla_t_3;desync;40;0.1477994689179553
dlla9;desync;40;3.727108433442497e-133
dlla2;desync;40;4.846035841502109e-44
tvla_t_1;desync;50;1.3716165696644865e-09
tvla_t_2;desync;50;0.0007178679290114729
tvla_t_3;desync;50;0.23543989884453853
dlla9;desync;50;7.422543107853463e-122
dlla2;desync;50;2.0988391493379788e-35
tvla_t_1;desync;60;6.983969245846586e-10
tvla_t_2;desync;60;0.00019072107795882454
