method;pollution;param;p
tvla_t_1;desync;0.0;0.008150289753204129
tvla_t_2;desync;0.0;0.010311754977106216
dlla_open;desync;0.0;6.825509815420066e-14
dlla_wegener;desync;0.0;7.772989522701831e-08
tvla_t_1;desync;0.25;0.07429219027968315
tvla_t_2;desync;0.25;0.02683023374232705
dlla_open;desync;0.25;4.6655532820411634e-14
dlla_wegener;desync;0.25;1.215859491036232e-06
tvla_t_1;desync;0.5;0.030762208334393134
tvla_t_2;desync;0.5;0.03305092539630687
dlla_open;desync;0.5;2.311667662168548e-11
dlla_wegener;desync;0.5;7.333538466081642e-06
tvla_t_1;desync;0.75;0.030149482074376455
tvla_t_2;desync;0.75;0.02196601351368998
dlla_open;desync;0.75;1.612205065558367e-05
dlla_wegener;desync;0.75;0.00023498306417810459
tvla_t_1;desync;1.0;0.04513835464327821
tvla_t_2;desync;1.0;0.057477946046183094
dlla_open;desync;1.0;0.856409340261108
dlla_wegener;desync;1.0;0.001178406659255429
tvla_t_1;desync;1.25;0.08534544413797618
tvla_t_2;desync;1.25;0.07896574226010165
dlla_open;desync;1.25;0.6457656000504167
dlla_wegener;desync;1.25;7.333538466081642e-06
tvla_t_1;desync;1.5;0.034094841019567626
tvla_t_2;desync;1.5;0.10726393934192568
dlla_open;desync;1.5;0.3007796856542615
dlla_wegener;desync;1.5;0.08557551845852679
tvla_t_1;desync;1.75;0.1311963377070319
tvla_t_2;desync;1.75;0.16363035551306737
dlla_open;desync;1.75;0.2734715424286636
dlla_wegener;desync;1.75;0.5
tvla_t_1;desync;2.0;0.0624831253703413
tvla_t_2;desync;2.0;0.07241104284118023
dlla_open;desync;2.0;0.09570880451820424
dlla_wegener;desync;2.0;0.9019055658626149
tvla_t_1;desync;2.25;0.10604517422832987
tvla_t_2;desync;2.25;0.06325679329518373
dlla_open;desync;2.25;0.23083174583260968
dlla_wegener;desync;2.25;0.5303018246014707
tvla_t_1;desync;2.5;0.11292432564593714
tvla_t_2;desync;2.5;0.1255900608814369
dlla_open;desync;2.5;0.3202612759513795
dlla_wegener;desync;2.5;0.6758666899971368
tvla_t_1;desync;2.75;0.07606160213605262
tvla_t_2;desync;2.75;0.06666677441497124
dlla_open;desync;2.75;0.9637734044749642
dlla_wegener;desync;2.75;0.5303018246014707
tvla_t_1;desync;3.0;0.09072979711628812
tvla_t_2;desync;3.0;0.12933439955082449
dlla_open;desync;3.0;0.14677655154196687
dlla_wegener;desync;3.0;0.5
tvla_t_1;desync;3.25;0.12695737823925118
tvla_t_2;desync;3.25;0.07868308128594804
dlla_open;desync;3.25;0.19046548080103098
dlla_wegener;desync;3.25;0.5
tvla_t_1;desync;3.5;0.009705067541391606
tvla_t_2;desync;3.5;0.13179155560823178
dlla_open;desync;3.5;0.6757919363622565
dlla_wegener;desync;3.5;0.5
tvla_t_1;desync;3.75;0.052596789162246436
tvla_t_2;desync;3.75;0.05192125026959627
dlla_open;desync;3.75;0.2969152844887036
dlla_wegener;desync;3.75;0.5
tvla_t_1;desync;4.0;0.1739825979942841
tvla_t_2;desync;4.0;0.18872427842107678
dlla_open;desync;4.0;0.617312383570843
dlla_wegener;desync;4.0;0.2715178888319014
tvla_t_1;desync;4.25;0.009485491839211753
tvla_t_2;desync;4.25;0.06968712958386182
dlla_open;desync;4.25;0.7389897915599182
dlla_wegener;desync;4.25;0.5
tvla_t_1;desync;4.5;0.16893923821791176
tvla_t_2;desync;4.5;0.1682951622059622
dlla_open;desync;4.5;0.18466276059612116
dlla_wegener;desync;4.5;0.619479619759888
tvla_t_1;desync;4.75;0.12279233920083113
tvla_t_2;desync;4.75;0.263587369329037
dlla_open;desync;4.75;0.9842373720426745
dlla_wegener;desync;4.75;0.5
tvla_t_1;desync;5.0;0.1273242635216171
tvla_t_2;desync;5.0;0.06257059708928074
dlla_open;desync;5.0;0.7867248037364061
dlla_wegener;desync;5.0;0.5
tvla_t_1;desync;5.25;0.04103054387364493
tvla_t_2;desync;5.25;0.07673769500413634
dlla_open;desync;5.25;0.5150027411789004
dlla_wegener;desync;5.25;0.5902102212559587
tvla_t_1;desync;5.5;0.022040369838383055
tvla_t_2;desync;5.5;0.10549600971454343
dlla_open;desync;5.5;0.8250844240852467
dlla_wegener;desync;5.5;0.5902102212559587
tvla_t_1;desync;5.75;0.16483119822267897
tvla_t_2;desync;5.75;0.1425826251825306
dlla_open;desync;5.75;0.8252950045740002
dlla_wegener;desync;5.75;0.6480803513769754
tvla_t_1;desync;6.0;0.032579715667675715
tvla_t_2;desync;6.0;0.015478220165906933
dlla_open;desync;6.0;0.13360051918527632
dlla_wegener;desync;6.0;0.5
tvla_t_1;desync;6.25;0.10068266743221806
tvla_t_2;desync;6.25;0.037453462002413465
dlla_open;desync;6.25;0.4449090513593458
dlla_wegener;desync;6.25;0.5
tvla_t_1;desync;6.5;0.09614872393043923
tvla_t_2;desync;6.5;0.14645633232166722
dlla_open;desync;6.5;0.8932576459977289
dlla_wegener;desync;6.5;0.5
tvla_t_1;desync;6.75;0.08396232899478757
tvla_t_2;desync;6.75;0.11381870652994978
dlla_open;desync;6.75;0.9114773645000874
dlla_wegener;desync;6.75;0.3519196486230246
tvla_t_1;desync;7.0;0.1756895145135531
tvla_t_2;desync;7.0;0.16205216453296395
dlla_open;desync;7.0;0.5286537066704027
dlla_wegener;desync;7.0;0.439570916729037
tvla_t_1;desync;7.25;0.08314058340358563
tvla_t_2;desync;7.25;0.06990938609705112
dlla_open;desync;7.25;0.40980900938821363
dlla_wegener;desync;7.25;0.5
tvla_t_1;desync;7.5;0.09081373357033677
tvla_t_2;desync;7.5;0.10905813771312714
dlla_open;desync;7.5;0.9213301800521241
dlla_wegener;desync;7.5;0.4097897787440413
tvla_t_1;desync;7.75;0.18466967959626954
tvla_t_2;desync;7.75;0.24813046172069272
dlla_open;desync;7.75;0.05700481033239417
dlla_wegener;desync;7.75;0.5
tvla_t_1;desync;8.0;0.10820786363950495
tvla_t_2;desync;8.0;0.043403509758169055
dlla_open;desync;8.0;0.31364809935148824
dlla_wegener;desync;8.0;0.619479619759888
tvla_t_1;desync;8.25;0.22750172738688396
tvla_t_2;desync;8.25;0.14839881406484404
dlla_open;desync;8.25;0.8018410444378576
dlla_wegener;desync;8.25;0.5
tvla_t_1;desync;8.5;0.1485311783321633
tvla_t_2;desync;8.5;0.18528204609141483
dlla_open;desync;8.5;0.18503023657082499
dlla_wegener;desync;8.5;0.5
tvla_t_1;desync;8.75;0.06848621404700692
tvla_t_2;desync;8.75;0.10446981069779268
dlla_open;desync;8.75;0.4646439958856867
dlla_wegener;desync;8.75;0.6480803513769754
tvla_t_1;gauss;0.0;0.05997395369391516
tvla_t_2;gauss;0.0;0.04025770781428886
dlla_open;gauss;0.0;7.894319358408822e-16
dlla_wegener;gauss;0.0;9.215631043701869e-09
tvla_t_1;gauss;0.5;0.0018262432666035602
tvla_t_2;gauss;0.5;0.023784594467091618
dlla_open;gauss;0.5;2.8040693163081763e-11
dlla_wegener;gauss;0.5;1.0331608424620206e-05
tvla_t_1;gauss;1.0;0.03292328008726743
tvla_t_2;gauss;1.0;0.011759398870951605
dlla_open;gauss;1.0;2.5236092312625537e-12
dlla_wegener;gauss;1.0;9.750248241293607e-05
tvla_t_1;gauss;1.5;0.039230480240521476
tvla_t_2;gauss;1.5;0.006381014220468842
dlla_open;gauss;1.5;7.782066994736896e-07
dlla_wegener;gauss;1.5;5.698875909992337e-07
tvla_t_1;gauss;2.0;0.03986410485506953
tvla_t_2;gauss;2.0;0.02855176415103547
dlla_open;gauss;2.0;6.134810411201323e-07
dlla_wegener;gauss;2.0;3.8510258919811666e-05
tvla_t_1;gauss;2.5;0.01705497749841422
tvla_t_2;gauss;2.5;0.028698128828587872
dlla_open;gauss;2.5;6.4373181062573265e-06
dlla_wegener;gauss;2.5;0.007488909335178084
tvla_t_1;gauss;3.0;0.03501122116955925
tvla_t_2;gauss;3.0;0.025450008018506748
dlla_open;gauss;3.0;5.223594969291947e-08
dlla_wegener;gauss;3.0;0.0003116280245401649
tvla_t_1;gauss;3.5;0.06601347571887198
tvla_t_2;gauss;3.5;0.010270984514836098
dlla_open;gauss;3.5;0.00046224490567170435
dlla_wegener;gauss;3.5;0.040175110012735535
tvla_t_1;gauss;4.0;0.025049992227373617
tvla_t_2;gauss;4.0;0.013270542108991493
dlla_open;gauss;4.0;0.00017582693171152672
dlla_wegener;gauss;4.0;0.02403532146075321
tvla_t_1;gauss;4.5;0.018025648306231278
tvla_t_2;gauss;4.5;0.019849102072073382
dlla_open;gauss;4.5;0.0025341368105407363
dlla_wegener;gauss;4.5;0.007488909335178084
tvla_t_1;gauss;5.0;0.01840054837278164
tvla_t_2;gauss;5.0;0.03639540983975098
dlla_open;gauss;5.0;0.014215177311489904
dlla_wegener;gauss;5.0;0.3519196486230246
tvla_t_1;gauss;5.5;0.025462489155865325
tvla_t_2;gauss;5.5;0.008380811119812486
dlla_open;gauss;5.5;0.003803951284272352
dlla_wegener;gauss;5.5;0.016635381483503804
tvla_t_1;gauss;6.0;0.0309529934939922
tvla_t_2;gauss;6.0;0.028661898372164183
dlla_open;gauss;6.0;0.08667570580095271
dlla_wegener;gauss;6.0;0.007488909335178084
tvla_t_1;gauss;6.5;0.026058035714172718
tvla_t_2;gauss;6.5;0.028854288566909792
dlla_open;gauss;6.5;0.31346406410548855
dlla_wegener;gauss;6.5;0.24690634341038636
tvla_t_1;gauss;7.0;0.004133616768745608
tvla_t_2;gauss;7.0;0.005874805011334342
dlla_open;gauss;7.0;0.4963676141331148
dlla_wegener;gauss;7.0;0.034024197632878846
tvla_t_1;gauss;7.5;0.060701503907374894
tvla_t_2;gauss;7.5;0.004416106129841353
dlla_open;gauss;7.5;0.48981745582144365
dlla_wegener;gauss;7.5;0.055177400990157166
tvla_t_1;gauss;8.0;0.01692622701519497
tvla_t_2;gauss;8.0;0.02051933672953706
dlla_open;gauss;8.0;0.4343712325439927
dlla_wegener;gauss;8.0;0.29729369131626104
tvla_t_1;gauss;8.5;0.06143911232864284
tvla_t_2;gauss;8.5;0.02007859100013027
dlla_open;gauss;8.5;0.058869119702790955
dlla_wegener;gauss;8.5;0.702706308683739
tvla_t_1;gauss;0.0;0.016945132327433228
tvla_t_2;gauss;0.0;0.010933194600147085
dlla_open;gauss;0.0;1.2793161685159749e-15
dlla_wegener;gauss;0.0;0.00017622574034056827
tvla_t_1;gauss;0.1;0.05589136915593387
tvla_t_2;gauss;0.1;0.029102383930033695
dlla_open;gauss;0.1;5.5977357447476214e-15
dlla_wegener;gauss;0.1;3.3688293974139295e-08
