method;pollution;param;p
tvla_t_1;gauss;0;9.40838446441421e-83
tvla_t_2;gauss;0;0.006975237918218114
tvla_t_3;gauss;0;0.20882793836881064
dlla_open;gauss;0;5.079044300503452e-264
dlla_wegener;gauss;0;1.1391361875184566e-191
tvla_t_1;gauss;10;2.8848410126225997e-17
tvla_t_2;gauss;10;0.0179004226014603
tvla_t_3;gauss;10;0.12156840570696269
dlla_open;gauss;10;8.257132893351575e-132
dlla_wegener;gauss;10;1.798854158310439e-73
tvla_t_1;gauss;0;3.29577727965316e-82
tvla_t_2;gauss;0;0.008744888541092039
tvla_t_3;gauss;0;0.10182761797367373
dlla_open;gauss;0;2.360583360026541e-244
dlla_wegener;gauss;0;2.4719488576981604e-189
tvla_t_1;gauss;10;4.987377888020658e-16
tvla_t_2;gauss;10;0.01613068922870421
tvla_t_3;gauss;10;0.19895421797669074
dlla_open;gauss;10;8.279870777557785e-138
dlla_wegener;gauss;10;4.965878933198885e-83
tvla_t_1;gauss;20;4.317928684529337e-07
tvla_t_2;gauss;20;0.0009176495433131017
tvla_t_3;gauss;20;0.1622584896143416
dlla_open;gauss;20;3.5355940361127263e-60
dlla_wegener;gauss;20;1.250809826810034e-37
tvla_t_1;gauss;30;0.001016235900750616
tvla_t_2;gauss;30;0.017918663130406014
tvla_t_3;gauss;30;0.1896959945649155
dlla_open;gauss;30;1.2358423179163361e-27
dlla_wegener;gauss;30;1.508058264063872e-14
tvla_t_1;gauss;40;0.012016893771346038
tvla_t_2;gauss;40;0.026221624578015836
tvla_t_3;gauss;40;0.17569297618908689
dlla_open;gauss;40;5.343110892768289e-15
dlla_wegener;gauss;40;3.987754553863644e-11
tvla_t_1;gauss;50;0.020103096170708618
tvla_t_2;gauss;50;0.0148305328467629
tvla_t_3;gauss;50;0.18072827856274057
dlla_open;gauss;50;5.430822461265281e-07
dlla_wegener;gauss;50;0.0005014821477545602
tvla_t_1;gauss;60;0.020221663377826674
tvla_t_2;gauss;60;0.005461158554481663
tvla_t_3;gauss;60;0.18097182573742557
dlla_open;gauss;60;4.2451324950883236e-06
dlla_wegener;gauss;60;4.011212937153572e-06
tvla_t_1;gauss;70;0.005945789548491607
tvla_t_2;gauss;70;0.031312222393088285
tvla_t_3;gauss;70;0.16249951088006262
dlla_open;gauss;70;1.0404653644519877e-05
dlla_wegener;gauss;70;1.173486558506821e-07
tvla_t_1;gauss;80;0.022477439321017673
tvla_t_2;gauss;80;0.006913859717490175
tvla_t_3;gauss;80;0.12553131304444912
dlla_open;gauss;80;0.00454894582305736
dlla_wegener;gauss;80;0.5312156499058653
tvla_t_1;gauss;90;0.03092765342583134
tvla_t_2;gauss;90;0.018781013681666365
tvla_t_3;gauss;90;0.16551753966835955
dlla_open;gauss;90;0.0005315495984193552
dlla_wegener;gauss;90;0.06834975686097687
tvla_t_1;gauss;100;0.02564929344772584
tvla_t_2;gauss;100;0.012408132711429144
tvla_t_3;gauss;100;0.12826134785395196
dlla_open;gauss;100;0.2336619024034022
dlla_wegener;gauss;100;0.24042552903576153
tvla_t_1;gauss;110;0.0389234779635536
tvla_t_2;gauss;110;0.034541003834495314
tvla_t_3;gauss;110;0.1264159905048615
dlla_open;gauss;110;4.890727958782978e-05
dlla_wegener;gauss;110;0.025106141101439133
tvla_t_1;gauss;120;0.03939978992181382
tvla_t_2;gauss;120;0.01838329716682427
tvla_t_3;gauss;120;0.10533679920851091
dlla_open;gauss;120;0.2363049788802415
dlla_wegener;gauss;120;0.46878435009413466
tvla_t_1;gauss;130;0.00650654006865092
tvla_t_2;gauss;130;0.022373499961610664
tvla_t_3;gauss;130;0.17621426779627367
dlla_open;gauss;130;0.6832240850866744
dlla_wegener;gauss;130;0.06834975686097687
tvla_t_1;gauss;140;0.023247755271430016
tvla_t_2;gauss;140;0.008945347884918397
tvla_t_3;gauss;140;0.16704182465241363
dlla_open;gauss;140;0.002153406119417768
dlla_wegener;gauss;140;0.01722336137965525
tvla_t_1;gauss;150;0.012915380445162127
tvla_t_2;gauss;150;0.019027058510857103
tvla_t_3;gauss;150;0.1615498360035047
dlla_open;gauss;150;0.6361547138931077
dlla_wegener;gauss;150;0.8635841218375204
tvla_t_1;gauss;160;0.025403551227892094
tvla_t_2;gauss;160;0.015208134626827536
tvla_t_3;gauss;160;0.14563579173677876
dlla_open;gauss;160;0.043161553515063796
dlla_wegener;gauss;160;0.13641587816247958
tvla_t_1;gauss;170;0.007867337435708971
tvla_t_2;gauss;170;0.010018064932479734
tvla_t_3;gauss;170;0.16442771539705578
dlla_open;gauss;170;0.13703458822599665
dlla_wegener;gauss;170;0.46878435009413466
tvla_t_1;gauss;180;0.028525514049966116
tvla_t_2;gauss;180;0.01643521665185518
tvla_t_3;gauss;180;0.19171370411028008
dlla_open;gauss;180;0.44840449785543934
dlla_wegener;gauss;180;0.5312156499058653
tvla_t_1;gauss;190;0.049065092118436515
tvla_t_2;gauss;190;0.029495154857904663
tvla_t_3;gauss;190;0.12519465527164428
dlla_open;gauss;190;0.3449554499710663
dlla_wegener;gauss;190;0.9906077790836536
tvla_t_1;gauss;200;0.009144695138474575
tvla_t_2;gauss;200;0.017434940417292086
tvla_t_3;gauss;200;0.15960125404513045
dlla_open;gauss;200;0.4095130455540489
dlla_wegener;gauss;200;0.19445755263246195
tvla_t_1;gauss;210;0.030911276516104768
tvla_t_2;gauss;210;0.041088842666009304
tvla_t_3;gauss;210;0.20031491760792758
dlla_open;gauss;210;0.4017622139015369
dlla_wegener;gauss;210;0.29174903435948474
tvla_t_1;gauss;220;0.015849724522142904
tvla_t_2;gauss;220;0.020444116961216684
tvla_t_3;gauss;220;0.2165652172157231
dlla_open;gauss;220;0.01200657219222565
dlla_wegener;gauss;220;0.68080686959086
tvla_t_1;gauss;230;0.026342049522859262
tvla_t_2;gauss;230;0.008923469667587305
tvla_t_3;gauss;230;0.14727490936339435
dlla_open;gauss;230;0.04532688706086611
dlla_wegener;gauss;230;0.01722336137965525
tvla_t_1;gauss;240;0.04157487578277869
tvla_t_2;gauss;240;0.02362569670195359
tvla_t_3;gauss;240;0.16225926539856628
dlla_open;gauss;240;0.7284022425365514
dlla_wegener;gauss;240;0.0006605235827020061
tvla_t_1;gauss;250;0.010022637625961875
tvla_t_2;gauss;250;0.007254738589512696
tvla_t_3;gauss;250;0.14644649396336032
dlla_open;gauss;250;0.23318805621713426
dlla_wegener;gauss;250;0.7832629084202465
tvla_t_1;gauss;260;0.008939726315976209
tvla_t_2;gauss;260;0.009623213997229287
tvla_t_3;gauss;260;0.116502510064025
dlla_open;gauss;260;0.30993584641453253
dlla_wegener;gauss;260;0.68080686959086
tvla_t_1;gauss;270;0.029274031681789776
tvla_t_2;gauss;270;0.003402106057650642
tvla_t_3;gauss;270;0.15810575187430229
dlla_open;gauss;270;0.11485856101846793
dlla_wegener;gauss;270;0.845717706619771
tvla_t_1;gauss;280;0.014854474865530763
tvla_t_2;gauss;280;0.02184610221351911
tvla_t_3;gauss;280;0.15498430107318237
dlla_open;gauss;280;0.46194560405432816
dlla_wegener;gauss;280;0.8055424473675381
tvla_t_1;gauss;290;0.012735765102146282
tvla_t_2;gauss;290;0.02834845678946487
tvla_t_3;gauss;290;0.1351489845890453
dlla_open;gauss;290;0.32317110472192845
dlla_wegener;gauss;290;0.7345420065056343
tvla_t_1;gauss;300;0.028511924692060472
tvla_t_2;gauss;300;0.013578659294139374
tvla_t_3;gauss;300;0.16472971215100354
dlla_open;gauss;300;0.8431833144531027
dlla_wegener;gauss;300;0.07928921194338645
tvla_t_1;gauss;310;0.01813523183653571
tvla_t_2;gauss;310;0.0184022414859055
tvla_t_3;gauss;310;0.14628442339780692
dlla_open;gauss;310;0.7509646318377015
dlla_wegener;gauss;310;0.894936576665363
tvla_t_1;gauss;320;0.019354530639573743
tvla_t_2;gauss;320;0.03168710839219208
tvla_t_3;gauss;320;0.14311504799705513
dlla_open;gauss;320;0.7267272643879787
dlla_wegener;gauss;320;0.9961286134502418
tvla_t_1;gauss;330;0.03351210352473144
tvla_t_2;gauss;330;0.028220923911475432
tvla_t_3;gauss;330;0.17132238038835598
dlla_open;gauss;330;0.3225345493676143
dlla_wegener;gauss;330;0.042428623303057446
tvla_t_1;gauss;340;0.006269702808570028
tvla_t_2;gauss;340;0.00867595282456023
tvla_t_3;gauss;340;0.12076813677028589
dlla_open;gauss;340;0.6034216772753529
dlla_wegener;gauss;340;0.7345420065056343
tvla_t_1;gauss;350;0.007936336155755262
tvla_t_2;gauss;350;0.023763901875382885
tvla_t_3;gauss;350;0.21456431377324975
dlla_open;gauss;350;0.17993151108755281
dlla_wegener;gauss;350;0.4071128519411804
tvla_t_1;gauss;360;0.02617498557202032
tvla_t_2;gauss;360;0.02110081552141359
tvla_t_3;gauss;360;0.11461526262470731
dlla_open;gauss;360;0.9198763588440493
dlla_wegener;gauss;360;0.3476657259857966
tvla_t_1;gauss;370;0.030136914356840003
tvla_t_2;gauss;370;0.033102878438808866
tvla_t_3;gauss;370;0.1968086046485822
dlla_open;gauss;370;0.878245068727412
dlla_wegener;gauss;370;0.009392220916346396
tvla_t_1;gauss;380;0.025932340776640563
tvla_t_2;gauss;380;0.0014629386479214522
tvla_t_3;gauss;380;0.1540799881923528
dlla_open;gauss;380;0.11079623737044282
dlla_wegener;gauss;380;0.7595744709642385
tvla_t_1;gauss;390;0.03634249527072087
tvla_t_2;gauss;390;0.007018392900355307
tvla_t_3;gauss;390;0.21200768505953688
dlla_open;gauss;390;0.9732726649356752
dlla_wegener;gauss;390;0.10506342333463703
tvla_t_1;gauss;400;0.03657871158609021
tvla_t_2;gauss;400;0.00710806006814441
tvla_t_3;gauss;400;0.17481352020919194
dlla_open;gauss;400;0.41987439111926195
dlla_wegener;gauss;400;0.1736312122437907
tvla_t_1;gauss;0;1.9241649923673926e-85
tvla_t_2;gauss;0;0.003400165857192733
tvla_t_3;gauss;0;0.1783299937266677
dlla_open;gauss;0;2.7165351885425275e-265
dlla_wegener;gauss;0;5.214131620172218e-185
tvla_t_1;gauss;10;2.0171050442618883e-15
tvla_t_2;gauss;10;0.02145693319871984
tvla_t_3;gauss;10;0.19278731774712576
dlla_open;gauss;10;9.816118051615583e-135
dlla_wegener;gauss;10;4.5250299319929675e-81
tvla_t_1;gauss;20;4.2749786839268646e-07
tvla_t_2;gauss;20;0.010707985511117993
tvla_t_3;gauss;20;0.13300401982461268
dlla_open;gauss;20;1.0421186139501587e-54
dlla_wegener;gauss;20;1.3880137695020834e-30
tvla_t_1;gauss;30;0.0002594847668109118
tvla_t_2;gauss;30;0.02864390994376722
tvla_t_3;gauss;30;0.14930688384326884
dlla_open;gauss;30;4.132008668901253e-27
dlla_wegener;gauss;30;1.8822208005181897e-16
tvla_t_1;gauss;40;0.0005269276060415137
tvla_t_2;gauss;40;0.023411387567237787
tvla_t_3;gauss;40;0.07849512300529934
dlla_open;gauss;40;1.1208311615135756e-14
dlla_wegener;gauss;40;3.2495236603303634e-08
tvla_t_1;gauss;50;0.025688912186078685
tvla_t_2;gauss;50;0.006206999287906325
tvla_t_3;gauss;50;0.08046531958514576
dlla_open;gauss;50;4.229837193874813e-07
dlla_wegener;gauss;50;0.00011601291253318522
tvla_t_1;gauss;60;0.006640790325156217
tvla_t_2;gauss;60;0.005924652986643875
tvla_t_3;gauss;60;0.15617660528543723
dlla_open;gauss;60;3.7038639635398416e-08
dlla_wegener;gauss;60;0.0002841111834302498
tvla_t_1;gauss;70;0.023659108341936273
tvla_t_2;gauss;70;0.01625625929001086
tvla_t_3;gauss;70;0.16831984013307252
dlla_open;gauss;70;0.0003027128839658626
dlla_wegener;gauss;70;0.0014583198447812031
tvla_t_1;gauss;80;0.015696593406154924
tvla_t_2;gauss;80;0.017191745727591218
tvla_t_3;gauss;80;0.1804270247730165
dlla_open;gauss;80;0.02357306783677142
dlla_wegener;gauss;80;0.058613359810811734
tvla_t_1;gauss;90;0.014776245134359786
tvla_t_2;gauss;90;0.019954754854519342
tvla_t_3;gauss;90;0.15898835600804795
dlla_open;gauss;90;0.1529889371407556
dlla_wegener;gauss;90;0.29174903435948474
tvla_t_1;gauss;100;0.01542973951080038
tvla_t_2;gauss;100;0.02309605546131142
tvla_t_3;gauss;100;0.12379343591610799
dlla_open;gauss;100;0.18657312312608823
dlla_wegener;gauss;100;0.03581212963371204
tvla_t_1;gauss;110;0.008791221502630594
tvla_t_2;gauss;110;0.011370119897999251
tvla_t_3;gauss;110;0.21257484324124054
dlla_open;gauss;110;0.04029177055293139
dlla_wegener;gauss;110;0.01722336137965525
tvla_t_1;gauss;120;0.005468092681600117
tvla_t_2;gauss;120;0.0138185555919431
tvla_t_3;gauss;120;0.1601175405901676
dlla_open;gauss;120;0.09049298348198821
dlla_wegener;gauss;120;0.003058791223811229
tvla_t_1;gauss;130;0.02052442088213009
tvla_t_2;gauss;130;0.0038436101220712176
tvla_t_3;gauss;130;0.17724572485793627
dlla_open;gauss;130;0.00628182819474034
dlla_wegener;gauss;130;0.06834975686097687
tvla_t_1;gauss;140;0.010604147158699595
tvla_t_2;gauss;140;0.030366931210977735
tvla_t_3;gauss;140;0.1281175710976397
dlla_open;gauss;140;0.7935173813067558
dlla_wegener;gauss;140;0.6523342740142034
tvla_t_1;gauss;150;0.013505519302861382
tvla_t_2;gauss;150;0.01848255892813539
tvla_t_3;gauss;150;0.14165571643642028
dlla_open;gauss;150;0.0780814187910565
dlla_wegener;gauss;150;0.4377595237085827
tvla_t_1;gauss;160;0.02774670919266423
tvla_t_2;gauss;160;0.02815845009494856
tvla_t_3;gauss;160;0.15301050835472566
dlla_open;gauss;160;0.049490088338566815
dlla_wegener;gauss;160;0.07928921194338645
tvla_t_1;gauss;170;0.02200769306647384
tvla_t_2;gauss;170;0.012892247606830502
tvla_t_3;gauss;170;0.12479746991164542
dlla_open;gauss;170;0.4024568478415179
dlla_wegener;gauss;170;0.5928871480588196
tvla_t_1;gauss;180;0.027021952052200017
tvla_t_2;gauss;180;0.023749915513665825
tvla_t_3;gauss;180;0.10393435335214013
dlla_open;gauss;180;0.6581976240650929
dlla_wegener;gauss;180;0.5622404762914173
tvla_t_1;gauss;190;0.019299779283987267
tvla_t_2;gauss;190;0.029475601458596914
tvla_t_3;gauss;190;0.14444977521018756
dlla_open;gauss;190;0.9317574599367722
dlla_wegener;gauss;190;0.845717706619771
tvla_t_1;gauss;200;0.03213103025238899
tvla_t_2;gauss;200;0.025273091263082137
tvla_t_3;gauss;200;0.16885351956833905
dlla_open;gauss;200;0.23904394761726616
dlla_wegener;gauss;200;0.7595744709642385
tvla_t_1;gauss;210;0.00755534319573673
tvla_t_2;gauss;210;0.026652182111438445
tvla_t_3;gauss;210;0.15114740025554846
dlla_open;gauss;210;0.7336954191254106
dlla_wegener;gauss;210;0.4377595237085827
tvla_t_1;gauss;220;0.019722700817533162
tvla_t_2;gauss;220;0.01937828633874961
tvla_t_3;gauss;220;0.12385242421266611
dlla_open;gauss;220;0.2891159445527197
dlla_wegener;gauss;220;0.68080686959086
tvla_t_1;gauss;230;0.007459551581420587
tvla_t_2;gauss;230;0.014497928267909532
tvla_t_3;gauss;230;0.1652244343236351
dlla_open;gauss;230;0.1278421499132107
dlla_wegener;gauss;230;0.5
tvla_t_1;gauss;240;0.03278778159159162
tvla_t_2;gauss;240;0.010128877513301597
tvla_t_3;gauss;240;0.16685103586364236
dlla_open;gauss;240;0.5816933558512287
dlla_wegener;gauss;240;0.21673709157975352
tvla_t_1;gauss;250;0.04616378568112573
tvla_t_2;gauss;250;0.009307563358200129
tvla_t_3;gauss;250;0.17906208319675543
dlla_open;gauss;250;0.822377982137751
dlla_wegener;gauss;250;0.5312156499058653
tvla_t_1;gauss;260;0.007764544446715516
tvla_t_2;gauss;260;0.014022253187792615
tvla_t_3;gauss;260;0.13747033297620648
dlla_open;gauss;260;0.3438035817670009
dlla_wegener;gauss;260;0.7345420065056343
tvla_t_1;gauss;270;0.01642648592692442
tvla_t_2;gauss;270;0.027164352047184995
tvla_t_3;gauss;270;0.16861133675408463
dlla_open;gauss;270;0.7214522990877905
dlla_wegener;gauss;270;0.31919313040914005
tvla_t_1;gauss;280;0.01709126225667807
tvla_t_2;gauss;280;0.03913366507984536
tvla_t_3;gauss;280;0.15611946323836248
dlla_open;gauss;280;0.7949208288425718
dlla_wegener;gauss;280;0.8799807716062436
tvla_t_1;gauss;290;0.010298104856535858
tvla_t_2;gauss;290;0.0318955025356385
tvla_t_3;gauss;290;0.14803198874436757
dlla_open;gauss;290;0.18378201596126137
dlla_wegener;gauss;290;0.6229752126423853
tvla_t_1;gauss;300;0.022671270494011533
tvla_t_2;gauss;300;0.03660366279727724
tvla_t_3;gauss;300;0.17175616204859487
dlla_open;gauss;300;0.9379110066666408
dlla_wegener;gauss;300;0.2654579934943657
tvla_t_1;gauss;310;0.015708049339088696
tvla_t_2;gauss;310;0.008364153093521396
tvla_t_3;gauss;310;0.1906937977689293
dlla_open;gauss;310;0.8587344160309734
dlla_wegener;gauss;310;0.964187870366288
tvla_t_1;gauss;320;0.02669765611712786
tvla_t_2;gauss;320;0.008071456711142446
tvla_t_3;gauss;320;0.20289555587878313
dlla_open;gauss;320;0.31130638158555884
dlla_wegener;gauss;320;0.9207107880566135
tvla_t_1;gauss;330;0.012195823965542689
tvla_t_2;gauss;330;0.010792342576497062
tvla_t_3;gauss;330;0.14257560277422693
dlla_open;gauss;330;0.3030542014515899
dlla_wegener;gauss;330;0.9413866401891883
tvla_t_1;gauss;340;0.042505526206106536
tvla_t_2;gauss;340;0.020405788697969846
tvla_t_3;gauss;340;0.13631941837231595
dlla_open;gauss;340;0.8730824218672356
dlla_wegener;gauss;340;0.9499993108462604
tvla_t_1;gauss;350;0.0028921957517643324
tvla_t_2;gauss;350;0.013345717467170249
tvla_t_3;gauss;350;0.16118319136189518
dlla_open;gauss;350;0.00909941248487394
dlla_wegener;gauss;350;0.7082509656405153
tvla_t_1;gauss;360;0.012478988868177365
tvla_t_2;gauss;360;0.008785496416538516
tvla_t_3;gauss;360;0.09018649572687687
dlla_open;gauss;360;0.2754980549572419
dlla_wegener;gauss;360;0.7832629084202465
tvla_t_1;gauss;370;0.028455262462680965
tvla_t_2;gauss;370;0.01663409314236335
tvla_t_3;gauss;370;0.10182912631034723
dlla_open;gauss;370;0.4505075358477315
dlla_wegener;gauss;370;0.24042552903576153
tvla_t_1;gauss;380;0.03942584372722494
tvla_t_2;gauss;380;0.021116434153345364
tvla_t_3;gauss;380;0.17371406341901435
dlla_open;gauss;380;0.003676277428912157
dlla_wegener;gauss;380;0.014149033712662466
tvla_t_1;gauss;390;0.01838255437253827
tvla_t_2;gauss;390;0.011508337247494178
tvla_t_3;gauss;390;0.1803579055433998
dlla_open;gauss;390;0.948883095728908
dlla_wegener;gauss;390;0.68080686959086
tvla_t_1;gauss;400;0.012220217894134662
tvla_t_2;gauss;400;0.01226538145561739
tvla_t_3;gauss;400;0.12042549935977859
dlla_open;gauss;400;0.6436405079803578
dlla_wegener;gauss;400;0.7082509656405153
tvla_t_1;gauss;0;2.4475046443220974e-86
tvla_t_2;gauss;0;0.027472900840574563
tvla_t_3;gauss;0;0.12313493014527416
dlla_open;gauss;0;1.422595414246069e-253
dlla_wegener;gauss;0;2.4719488576981604e-189
tvla_t_1;gauss;10;2.0722078418962747e-18
tvla_t_2;gauss;10;0.00425494613721993
tvla_t_3;gauss;10;0.1947558628632654
