method;pollution;param;kr;sr
sca_hw;gauss;0;1.28;0.92
sca_hw;gauss;0;1.11;0.95
sca_hw;desync;0.0;1.08;0.96
sca_hw;desync;0.05;1.14;0.91
sca_hw;desync;0.1;1.64;0.86
sca_hw;desync;0.15000000000000002;2.15;0.89
sca_hw;desync;0.2;1.05;0.96
sca_hw;desync;0.25;1.16;0.94
sca_hw;desync;0.30000000000000004;1.45;0.81
sca_hw;desync;0.35000000000000003;5.11;0.53
sca_hw;desync;0.4;5.25;0.57
sca_hw;desync;0.45;5.01;0.47
sca_hw;desync;0.5;7.96;0.35
sca_hw;desync;0.55;17.61;0.26
sca_hw;desync;0.6000000000000001;12.01;0.3
sca_hw;desync;0.65;117.69;0.0
sca_hw;desync;0.7000000000000001;52.88;0.05
sca_hw;desync;0.75;23.88;0.23
sca_hw;desync;0.8;105.34;0.03
sca_hw;desync;0.8500000000000001;68.06;0.05
sca_hw;desync;0.9;129.97;0.0
sca_hw;desync;0.9500000000000001;107.95;0.0
sca_hw;desync;1.0;118.6;0.0
sca_hw;desync;1.05;117.15;0.02
sca_hw;desync;1.1;121.54;0.01
sca_hw;desync;1.1500000000000001;122.19;0.03
sca_hw;desync;1.2000000000000002;110.4;0.02
sca_hw;desync;1.25;126.89;0.0
sca_hw;desync;1.3;96.76;0.01
sca_hw;desync;1.35;129.22;0.01
sca_hw;desync;1.4000000000000001;122.96;0.0
sca_hw;desync;1.4500000000000002;128.34;0.0
sca_hw;desync;1.5;113.5;0.0
sca_hw;desync;1.55;110.81;0.0
sca_hw;desync;1.6;115.74;0.0
sca_hw;desync;1.6500000000000001;108.95;0.02
sca_hw;desync;1.7000000000000002;114.68;0.01
sca_hw;desync;1.75;114.7;0.0
sca_hw;desync;1.8;129.66;0.0
sca_hw;desync;1.85;121.59;0.0
sca_hw;desync;1.9000000000000001;125.37;0.01
sca_hw;desync;1.9500000000000002;121.76;0.0
sca_hw;desync;2.0;141.76;0.0
sca_hw;gauss;0.0;1.31;0.91
sca_hw;gauss;0.1;1.48;0.87
sca_hw;gauss;0.2;1.82;0.8
sca_hw;gauss;0.30000000000000004;1.26;0.85
sca_hw;gauss;0.4;1.33;0.87
sca_hw;gauss;0.5;1.89;0.81
sca_hw;gauss;0.6000000000000001;1.8;0.81
sca_hw;gauss;0.7000000000000001;1.17;0.9
sca_hw;gauss;0.8;7.93;0.39
sca_hw;gauss;0.9;2.67;0.65
sca_hw;gauss;1.0;7.02;0.5
sca_hw;gauss;1.1;4.89;0.59
sca_hw;gauss;1.2000000000000002;9.05;0.46
sca_hw;gauss;1.3;2.57;0.84
sca_hw;gauss;1.4000000000000001;1.79;0.8
sca_hw;gauss;1.5;5.65;0.51
sca_hw;gauss;1.6;5.12;0.57
sca_hw;gauss;1.7000000000000002;6.55;0.42
sca_hw;gauss;1.8;6.19;0.48
sca_hw;gauss;1.9000000000000001;6.57;0.4
sca_hw;gauss;2.0;10.07;0.44
sca_hw;gauss;2.1;8.44;0.5
sca_hw;gauss;2.2;6.2;0.56
sca_hw;gauss;2.3000000000000003;8.81;0.38
sca_hw;gauss;2.4000000000000004;10.57;0.38
sca_hw;gauss;2.5;11.38;0.35
sca_hw;gauss;2.6;9.53;0.39
sca_hw;gauss;2.7;13.33;0.3
sca_hw;gauss;2.8000000000000003;28.84;0.2
sca_hw;gauss;2.9000000000000004;19.63;0.32
sca_hw;gauss;3.0;28.05;0.13
sca_hw;gauss;3.1;13.72;0.38
sca_hw;gauss;3.2;30.98;0.09
sca_hw;gauss;3.3000000000000003;22.96;0.24
sca_hw;gauss;3.4000000000000004;27.86;0.21
sca_hw;gauss;3.5;31.42;0.16
sca_hw;gauss;3.6;31.76;0.18
sca_hw;gauss;3.7;41.99;0.14
sca_hw;gauss;3.8000000000000003;24.15;0.13
sca_hw;gauss;3.9000000000000004;30.49;0.09
sca_hw;gauss;4.0;47.33;0.08
sca_hw;gauss;4.1000000000000005;53.87;0.08
sca_hw;gauss;4.2;47.86;0.08
sca_hw;gauss;4.3;30.11;0.1
sca_hw;gauss;4.4;44.63;0.11
sca_hw;gauss;4.5;50.85;0.04
sca_hw;gauss;4.6000000000000005;51.22;0.09
sca_hw;gauss;4.7;47.79;0.03
sca_hw;gauss;4.800000000000001;63.16;0.06
sca_hw;gauss;4.9;50.12;0.04
sca_hw;gauss;5.0;64.46;0.04
sca_hw;desync;0.0;1.72;0.9
sca_hw;desync;0.05;1.07;0.94
sca_hw;desync;0.1;1.35;0.89
sca_hw;desync;0.15000000000000002;1.84;0.78
sca_hw;desync;0.2;1.48;0.89
sca_hw;desync;0.25;2.24;0.74
sca_hw;desync;0.30000000000000004;2.41;0.76
sca_hw;desync;0.35000000000000003;2.58;0.63
sca_hw;desync;0.4;9.91;0.47
sca_hw;desync;0.45;4.91;0.51
sca_hw;desync;0.5;5.19;0.47
sca_hw;desync;0.55;10.93;0.37
sca_hw;desync;0.6000000000000001;15.59;0.28
sca_hw;desync;0.65;16.7;0.26
sca_hw;desync;0.7000000000000001;121.36;0.0
sca_hw;desync;0.75;109.28;0.0
sca_hw;desync;0.8;76.04;0.03
sca_hw;desync;0.8500000000000001;122.1;0.0
sca_hw;desync;0.9;124.55;0.0
sca_hw;desync;0.9500000000000001;109.23;0.01
sca_hw;desync;1.0;117.47;0.01
sca_hw;desync;1.05;108.31;0.01
sca_hw;desync;1.1;116.89;0.01
sca_hw;desync;1.1500000000000001;117.68;0.02
sca_hw;desync;1.2000000000000002;120.03;0.02
sca_hw;desync;1.25;117.7;0.0
sca_hw;desync;1.3;113.62;0.0
sca_hw;desync;1.35;112.73;0.01
sca_hw;desync;1.4000000000000001;119.07;0.0
sca_hw;desync;1.4500000000000002;127.67;0.0
sca_hw;desync;1.5;110.75;0.01
sca_hw;desync;1.55;113.3;0.0
sca_hw;desync;1.6;122.92;0.0
sca_hw;desync;1.6500000000000001;104.25;0.01
sca_hw;desync;1.7000000000000002;123.41;0.0
sca_hw;desync;1.75;123.03;0.0
sca_hw;desync;1.8;124.23;0.0
sca_hw;desync;1.85;107.41;0.0
sca_hw;desync;1.9000000000000001;121.49;0.01
sca_hw;desync;1.9500000000000002;121.86;0.01
sca_hw;desync;2.0;111.5;0.01
sca_hw;gauss;0.0;1.62;0.85
sca_hw;gauss;0.1;2.01;0.82
sca_hw;gauss;0.2;2.17;0.76
sca_hw;gauss;0.30000000000000004;1.02;0.98
sca_hw;gauss;0.4;1.83;0.74
sca_hw;gauss;0.5;3.27;0.69
sca_hw;gauss;0.6000000000000001;1.39;0.86
sca_hw;gauss;0.7000000000000001;3.12;0.69
sca_hw;gauss;0.8;1.57;0.81
sca_hw;gauss;0.9;2.54;0.59
sca_hw;gauss;1.0;2.91;0.77
sca_hw;gauss;1.1;4.1;0.53
sca_hw;gauss;1.2000000000000002;2.15;0.79
sca_hw;gauss;1.3;3.0;0.64
sca_hw;gauss;1.4000000000000001;2.67;0.66
sca_hw;gauss;1.5;6.51;0.48
sca_hw;gauss;1.6;6.1;0.47
sca_hw;gauss;1.7000000000000002;7.13;0.5
sca_hw;gauss;1.8;11.6;0.41
sca_hw;gauss;1.9000000000000001;4.34;0.49
sca_hw;gauss;2.0;8.57;0.4
sca_hw;gauss;2.1;14.0;0.36
sca_hw;gauss;2.2;7.38;0.47
sca_hw;gauss;2.3000000000000003;13.62;0.26
sca_hw;gauss;2.4000000000000004;13.06;0.25
sca_hw;gauss;2.5;12.96;0.3
sca_hw;gauss;2.6;10.2;0.3
sca_hw;gauss;2.7;13.77;0.28
sca_hw;gauss;2.8000000000000003;14.11;0.3
sca_hw;gauss;2.9000000000000004;26.99;0.19
sca_hw;gauss;3.0;13.24;0.21
sca_hw;gauss;3.1;20.29;0.21
sca_hw;gauss;3.2;25.76;0.24
sca_hw;gauss;3.3000000000000003;24.4;0.15
sca_hw;gauss;3.4000000000000004;21.02;0.18
sca_hw;gauss;3.5;39.49;0.08
sca_hw;gauss;3.6;24.99;0.15
sca_hw;gauss;3.7;45.04;0.05
sca_hw;gauss;3.8000000000000003;30.92;0.15
sca_hw;gauss;3.9000000000000004;30.55;0.12
sca_hw;gauss;4.0;58.14;0.02
sca_hw;gauss;4.1000000000000005;45.72;0.04
sca_hw;gauss;4.2;34.69;0.03
sca_hw;gauss;4.3;46.41;0.1
sca_hw;gauss;4.4;49.8;0.07
sca_hw;gauss;4.5;53.64;0.08
sca_hw;gauss;4.6000000000000005;46.21;0.1
sca_hw;gauss;4.7;67.14;0.02
sca_hw;gauss;4.800000000000001;73.82;0.05
sca_hw;gauss;4.9;57.09;0.03
sca_hw;gauss;5.0;50.09;0.06
sca_hw;desync;0.0;1.55;0.88
sca_hw;desync;0.05;1.09;0.96
sca_hw;desync;0.1;1.12;0.93
sca_hw;desync;0.15000000000000002;1.4;0.86
sca_hw;desync;0.2;1.19;0.91
sca_hw;desync;0.25;2.59;0.7
sca_hw;desync;0.30000000000000004;1.57;0.74
sca_hw;desync;0.35000000000000003;4.59;0.56
sca_hw;desync;0.4;2.41;0.65
sca_hw;desync;0.45;5.67;0.48
sca_hw;desync;0.5;10.2;0.45
sca_hw;desync;0.55;21.56;0.2
sca_hw;desync;0.6000000000000001;45.17;0.08
sca_hw;desync;0.65;118.85;0.0
sca_hw;desync;0.7000000000000001;52.88;0.08
sca_hw;desync;0.75;45.73;0.04
sca_hw;desync;0.8;127.42;0.01
sca_hw;desync;0.8500000000000001;70.07;0.04
sca_hw;desync;0.9;121.91;0.0
sca_hw;desync;0.9500000000000001;117.77;0.03
sca_hw;desync;1.0;112.57;0.01
sca_hw;desync;1.05;118.0;0.01
sca_hw;desync;1.1;108.25;0.0
sca_hw;desync;1.1500000000000001;133.63;0.0
sca_hw;desync;1.2000000000000002;117.21;0.0
sca_hw;desync;1.25;111.46;0.0
sca_hw;desync;1.3;113.52;0.02
sca_hw;desync;1.35;133.01;0.01
sca_hw;desync;1.4000000000000001;117.52;0.01
sca_hw;desync;1.4500000000000002;115.72;0.0
sca_hw;desync;1.5;125.01;0.01
sca_hw;desync;1.55;110.48;0.0
sca_hw;desync;1.6;124.47;0.02
sca_hw;desync;1.6500000000000001;121.4;0.01
sca_hw;desync;1.7000000000000002;125.63;0.0
sca_hw;desync;1.75;116.93;0.01
sca_hw;desync;1.8;120.64;0.0
sca_hw;desync;1.85;114.42;0.0
sca_hw;desync;1.9000000000000001;123.25;0.01
sca_hw;desync;1.9500000000000002;115.57;0.02
sca_hw;desync;2.0;113.98;0.01
sca_hw;gauss;0.0;1.08;0.97
sca_hw;gauss;0.1;2.03;0.69
sca_hw;gauss;0.2;1.42;0.86
sca_hw;gauss;0.30000000000000004;1.3;0.87
sca_hw;gauss;0.4;1.22;0.92
sca_hw;gauss;0.5;1.2;0.93
sca_hw;gauss;0.6000000000000001;1.92;0.77
sca_hw;gauss;0.7000000000000001;3.68;0.66
sca_hw;gauss;0.8;1.81;0.84
sca_hw;gauss;0.9;1.83;0.84
sca_hw;gauss;1.0;1.96;0.8
sca_hw;gauss;1.1;2.24;0.74
sca_hw;gauss;1.2000000000000002;3.42;0.67
sca_hw;gauss;1.3;3.49;0.61
sca_hw;gauss;1.4000000000000001;3.26;0.67
sca_hw;gauss;1.5;5.55;0.5
sca_hw;gauss;1.6;3.75;0.6
sca_hw;gauss;1.7000000000000002;8.57;0.43
sca_hw;gauss;1.8;5.21;0.48
sca_hw;gauss;1.9000000000000001;12.9;0.37
sca_hw;gauss;2.0;5.81;0.4
sca_hw;gauss;2.1;10.94;0.38
sca_hw;gauss;2.2;8.22;0.46
sca_hw;gauss;2.3000000000000003;6.48;0.43
sca_hw;gauss;2.4000000000000004;9.08;0.28
sca_hw;gauss;2.5;13.46;0.33
sca_hw;gauss;2.6;10.37;0.35
sca_hw;gauss;2.7;12.44;0.39
sca_hw;gauss;2.8000000000000003;17.43;0.21
sca_hw;gauss;2.9000000000000004;22.51;0.24
sca_hw;gauss;3.0;30.56;0.23
sca_hw;gauss;3.1;6.86;0.5
sca_hw;gauss;3.2;19.57;0.23
sca_hw;gauss;3.3000000000000003;35.86;0.1
sca_hw;gauss;3.4000000000000004;29.32;0.17
sca_hw;gauss;3.5;42.43;0.13
sca_hw;gauss;3.6;38.03;0.1
sca_hw;gauss;3.7;41.01;0.1
sca_hw;gauss;3.8000000000000003;50.96;0.06
sca_hw;gauss;3.9000000000000004;38.49;0.13
sca_hw;gauss;4.0;50.16;0.06
sca_hw;gauss;4.1000000000000005;40.58;0.09
sca_hw;gauss;4.2;28.03;0.13
sca_hw;gauss;4.3;21.59;0.18
sca_hw;gauss;4.4;61.92;0.03
sca_hw;gauss;4.5;44.22;0.07
sca_hw;gauss;4.6000000000000005;42.24;0.04
sca_hw;gauss;4.7;68.74;0.1
sca_hw;gauss;4.800000000000001;41.56;0.08
sca_hw;gauss;4.9;45.46;0.07
sca_hw;gauss;5.0;79.58;0.02
sca_hw;desync;0.0;2.08;0.78
sca_hw;desync;0.05;2.49;0.69
sca_hw;desync;0.1;1.54;0.87
sca_hw;desync;0.15000000000000002;1.06;0.96
sca_hw;desync;0.2;1.05;0.97
sca_hw;desync;0.25;1.91;0.84
sca_hw;desync;0.30000000000000004;2.88;0.68
sca_hw;desync;0.35000000000000003;1.72;0.8
sca_hw;desync;0.4;3.57;0.67
sca_hw;desync;0.45;7.32;0.48
sca_hw;desync;0.5;9.23;0.41
sca_hw;desync;0.55;11.93;0.29
sca_hw;desync;0.6000000000000001;22.69;0.13
sca_hw;desync;0.65;119.25;0.0
sca_hw;desync;0.7000000000000001;36.14;0.06
sca_hw;desync;0.75;11.91;0.34
sca_hw;desync;0.8;119.63;0.01
sca_hw;desync;0.8500000000000001;117.44;0.01
sca_hw;desync;0.9;123.79;0.0
sca_hw;desync;0.9500000000000001;47.99;0.01
sca_hw;desync;1.0;130.29;0.0
sca_hw;desync;1.05;105.85;0.0
sca_hw;desync;1.1;121.83;0.01
sca_hw;desync;1.1500000000000001;115.42;0.0
sca_hw;desync;1.2000000000000002;103.1;0.0
sca_hw;desync;1.25;126.88;0.0
sca_hw;desync;1.3;112.96;0.01
sca_hw;desync;1.35;119.96;0.0
sca_hw;desync;1.4000000000000001;126.41;0.0
sca_hw;desync;1.4500000000000002;122.59;0.01
sca_hw;desync;1.5;114.57;0.0
sca_hw;desync;1.55;116.81;0.0
sca_hw;desync;1.6;112.07;0.0
sca_hw;desync;1.6500000000000001;112.93;0.0
sca_hw;desync;1.7000000000000002;121.78;0.01
sca_hw;desync;1.75;126.89;0.0
sca_hw;desync;1.8;119.66;0.0
sca_hw;desync;1.85;124.93;0.01
sca_hw;desync;1.9000000000000001;126.13;0.0
sca_hw;desync;1.9500000000000002;116.36;0.0
sca_hw;desync;2.0;119.92;0.01
sca_hw;gauss;0.0;1.67;0.91
sca_hw;gauss;0.1;1.76;0.84
sca_hw;gauss;0.2;1.34;0.87
sca_hw;gauss;0.30000000000000004;1.13;0.93
sca_hw;gauss;0.4;1.15;0.9
sca_hw;gauss;0.5;1.99;0.75
sca_hw;gauss;0.6000000000000001;1.54;0.84
sca_hw;gauss;0.7000000000000001;1.18;0.92
sca_hw;gauss;0.8;2.59;0.76
sca_hw;gauss;0.9;1.91;0.76
sca_hw;gauss;1.0;4.38;0.64
sca_hw;gauss;1.1;1.83;0.82
sca_hw;gauss;1.2000000000000002;2.49;0.66
sca_hw;gauss;1.3;2.84;0.65
sca_hw;gauss;1.4000000000000001;3.27;0.61
sca_hw;gauss;1.5;3.99;0.57
sca_hw;gauss;1.6;5.19;0.46
sca_hw;gauss;1.7000000000000002;2.95;0.54
