,Profiled SCA
0,138.31
1,126.57
2,135.1
3,129.68
4,132.38
5,134.47
6,135.57
7,130.94
8,136.98
9,134.31
10,136.08
11,136.73
12,138.91
13,137.9
14,138.96
15,137.72
16,133.68
17,134.05
18,131.93
19,131.56
20,135.38
21,135.56
22,136.34
23,135.55
24,133.06
25,132.75
26,132.03
27,132.75
28,136.56
29,136.32
30,137.31
31,137.45
32,137.89
33,137.27
34,138.84
35,136.94
36,138.22
37,138.92
38,137.25
39,136.47
40,137.05
41,135.75
42,135.05
43,133.98
44,133.1
45,132.72
46,133.68
47,134.2
48,135.97
49,137.47
50,136.77
51,137.02
52,138.34
53,138.97
54,138.93
55,138.36
56,138.21
57,140.0
58,138.66
59,139.04
60,140.65
61,141.63
62,141.99
63,141.25
64,138.87
65,138.42
66,136.21
67,134.87
68,135.39
69,136.63
70,136.74
71,137.72
72,138.09
73,136.51
74,136.59
75,138.36
76,137.18
77,135.96
78,135.31
79,134.96
80,133.65
81,134.53
82,134.6
83,134.03
84,134.88
85,133.04
86,130.83
87,129.58
88,131.39
89,129.89
90,128.86
91,128.27
92,127.27
93,127.9
94,126.82
95,125.93
96,126.37
97,125.8
98,125.85
99,125.01
100,123.59
101,123.27
102,122.8
103,123.11
104,122.6
105,121.83
106,121.65
107,121.66
108,120.8
109,122.05
110,121.64
111,121.68
112,121.16
113,121.84
114,121.06
115,122.21
116,123.13
117,122.92
118,123.29
119,123.99
120,123.77
121,123.51
122,122.22
123,123.88
124,123.82
125,124.68
126,125.2
127,125.07
128,124.6
129,123.97
130,124.19
131,124.37
132,124.73
133,124.37
134,124.97
135,124.67
136,125.88
137,126.79
138,126.99
139,126.44
140,126.57
141,125.74
142,125.12
143,125.11
144,124.16
145,125.21
146,124.74
147,124.95
148,125.33
149,125.63
150,124.7
151,125.47
152,125.06
153,124.38
154,124.49
155,123.98
156,124.02
157,124.38
158,123.78
159,123.66
160,123.35
161,122.84
162,122.83
163,123.42
164,123.29
165,123.72
166,122.3
167,123.29
168,122.65
169,122.32
170,122.22
171,122.22
172,122.12
173,122.21
174,122.34
175,122.42
176,122.26
177,122.57
178,121.95
179,122.57
180,122.41
181,122.46
182,122.11
183,122.49
184,123.44
185,123.65
186,123.73
187,123.87
188,123.87
189,125.12
190,125.68
191,125.94
192,125.68
193,126.08
194,125.95
195,125.68
196,124.74
197,126.12
198,126.08
199,124.72
200,124.38
201,123.69
202,124.54
203,124.48
204,124.15
205,124.49
206,123.75
207,124.54
208,124.81
209,124.83
210,124.71
211,125.11
212,124.59
213,125.43
214,125.46
215,124.25
216,124.53
217,123.62
218,123.56
219,124.33
220,125.8
221,125.12
222,124.84
223,124.84
224,124.88
225,125.33
226,125.06
227,125.47
228,125.3
229,125.06
230,124.79
231,124.2
232,123.79
233,123.15
234,122.23
235,122.12
236,121.36
237,121.26
238,120.84
239,121.38
240,121.69
241,121.36
242,121.18
243,120.49
244,120.89
245,121.8
246,121.4
247,120.81
248,120.62
249,120.66
250,121.02
251,121.17
252,121.78
253,122.3
254,123.31
255,123.3
256,123.09
257,123.09
258,123.7
259,124.43
260,124.87
261,124.53
262,124.83
263,125.13
264,124.22
265,123.98
266,123.77
267,123.4
268,123.06
269,122.92
270,122.48
271,122.23
272,122.28
273,122.1
274,121.77
275,122.26
276,121.96
277,121.83
278,121.55
279,121.98
280,122.49
281,122.81
282,122.9
283,122.69
284,122.5
285,122.45
286,122.22
287,121.93
288,121.55
289,122.53
290,122.62
291,122.5
292,122.52
293,122.65
294,122.58
295,122.24
296,121.69
297,121.85
298,122.5
299,122.39
300,121.93
301,121.71
302,121.57
303,122.59
304,122.65
305,122.83
306,123.38
307,123.79
308,123.63
309,123.41
310,123.68
311,122.93
