method;pollution;param;p
cri_tvla_1;jitter;0;0.0
cri_tvla_2;jitter;0;5.032913635012677e-26
dlla9;jitter;0;0.0
dlla2;jitter;0;0.0
cri_tvla_1;jitter;4;0.0008936959775385644
cri_tvla_2;jitter;4;3.566525461962695e-06
dlla9;jitter;4;0.05013263192137604
dlla2;jitter;4;0.11666430081097412
cri_tvla_1;jitter;8;0.0014795636921291976
cri_tvla_2;jitter;8;8.163538745436696e-05
dlla9;jitter;8;0.7953477346007872
dlla2;jitter;8;0.9882275006713762
cri_tvla_1;jitter;12;0.0028287682345484737
cri_tvla_2;jitter;12;0.0006842969115812846
dlla9;jitter;12;0.3942942427814805
dlla2;jitter;12;0.9809501788525579
cri_tvla_1;jitter;16;0.002144647094708391
cri_tvla_2;jitter;16;0.0009785869396053428
dlla9;jitter;16;0.3765471512035564
dlla2;jitter;16;0.00468589177620326
cri_tvla_1;jitter;20;0.0004959348453136987
cri_tvla_2;jitter;20;0.00043588360634099095
dlla9;jitter;20;0.7865688367734519
dlla2;jitter;20;0.6660595519392751
cri_tvla_1;jitter;24;0.0007109409241561411
cri_tvla_2;jitter;24;3.253350724626971e-05
dlla9;jitter;24;0.9659573042233545
dlla2;jitter;24;0.5190116253357044
cri_tvla_1;jitter;28;0.00011036446243002562
cri_tvla_2;jitter;28;0.0003749348542047285
dlla9;jitter;28;0.17108113614968395
dlla2;jitter;28;0.16421053590637813
cri_tvla_1;jitter;32;0.0013777699082803269
cri_tvla_2;jitter;32;0.005063718088383762
dlla9;jitter;32;0.501405956981859
dlla2;jitter;32;0.8298221288073993
cri_tvla_1;jitter;36;0.018743851363316463
cri_tvla_2;jitter;36;0.0013646130975280481
dlla9;jitter;36;0.832274527248441
dlla2;jitter;36;0.41506724511096704
cri_tvla_1;jitter;40;0.012295603359267828
cri_tvla_2;jitter;40;0.0022824126773460227
dlla9;jitter;40;0.5239901499229378
dlla2;jitter;40;0.612575788918561
cri_tvla_1;gauss;0;0.0
cri_tvla_2;gauss;0;9.032692599590074e-26
dlla9;gauss;0;0.0
dlla2;gauss;0;0.0
cri_tvla_1;gauss;2;0.0
cri_tvla_2;gauss;2;6.374876034858012e-18
dlla9;gauss;2;0.0
dlla2;gauss;2;0.0
cri_tvla_1;gauss;4;0.0
cri_tvla_2;gauss;4;2.841247217186596e-10
dlla9;gauss;4;0.0
dlla2;gauss;4;0.0
cri_tvla_1;gauss;6;0.0
cri_tvla_2;gauss;6;7.404485059702807e-07
dlla9;gauss;6;0.0
dlla2;gauss;6;0.0
cri_tvla_1;gauss;8;0.0
cri_tvla_2;gauss;8;3.150577886318167e-06
dlla9;gauss;8;0.0
dlla2;gauss;8;0.0
cri_tvla_1;gauss;10;0.0
cri_tvla_2;gauss;10;0.0009458474944150343
dlla9;gauss;10;0.0
dlla2;gauss;10;0.0
cri_tvla_1;gauss;12;0.0
cri_tvla_2;gauss;12;0.0009300394395370771
dlla9;gauss;12;0.0
dlla2;gauss;12;0.0
cri_tvla_1;gauss;14;0.0
cri_tvla_2;gauss;14;0.0020158504921961922
dlla9;gauss;14;0.0
dlla2;gauss;14;0.0
cri_tvla_1;gauss;16;4.659337884624387e-245
cri_tvla_2;gauss;16;0.007315043510407449
dlla9;gauss;16;0.0
dlla2;gauss;16;0.0
cri_tvla_1;gauss;18;1.3180985429809062e-204
cri_tvla_2;gauss;18;0.0012509677489942284
dlla9;gauss;18;2.3682719127190363e-266
dlla2;gauss;18;0.0
cri_tvla_1;gauss;20;1.871545353189975e-169
cri_tvla_2;gauss;20;0.0021474059734575297
dlla9;gauss;20;2.3281294487797857e-224
dlla2;gauss;20;0.0
cri_tvla_1;gauss;22;1.9828435913805784e-146
cri_tvla_2;gauss;22;0.0010176224979979573
dlla9;gauss;22;2.203395168820501e-193
dlla2;gauss;22;4.4316377055490485e-257
cri_tvla_1;gauss;24;1.8449354909618633e-129
cri_tvla_2;gauss;24;0.0044826326072873535
dlla9;gauss;24;9.801723167331425e-166
dlla2;gauss;24;8.722842972213847e-263
cri_tvla_1;gauss;26;4.242867207515914e-123
cri_tvla_2;gauss;26;0.0017971666031889248
dlla9;gauss;26;1.8536856107934857e-112
dlla2;gauss;26;5.948113185053657e-180
cri_tvla_1;gauss;28;7.791377424682502e-110
cri_tvla_2;gauss;28;0.0003317595979421564
dlla9;gauss;28;1.7166968523350148e-115
dlla2;gauss;28;2.5531735363502793e-157
cri_tvla_1;gauss;30;1.6482451230389859e-80
cri_tvla_2;gauss;30;0.00606070572170515
dlla9;gauss;30;3.1461906237699216e-71
dlla2;gauss;30;8.254324586710972e-139
cri_tvla_1;jitter;0;0.0
cri_tvla_2;jitter;0;8.390878667657444e-27
dlla9;jitter;0;0.0
dlla2;jitter;0;0.0
cri_tvla_1;jitter;4;0.000212224308085039
cri_tvla_2;jitter;4;7.997287108148189e-06
dlla9;jitter;4;0.5261820680599674
dlla2;jitter;4;0.2836347176335541
cri_tvla_1;jitter;8;0.005818487462060999
cri_tvla_2;jitter;8;0.00011800299275633406
dlla9;jitter;8;0.38510771251651055
dlla2;jitter;8;0.42438325050842773
cri_tvla_1;jitter;12;0.0012901854707361787
cri_tvla_2;jitter;12;0.00027564592395234343
dlla9;jitter;12;0.29560416385594085
dlla2;jitter;12;0.8582848795681028
cri_tvla_1;jitter;16;0.0015520744937429867
cri_tvla_2;jitter;16;0.0002706954136351455
dlla9;jitter;16;0.520613774360225
dlla2;jitter;16;0.2756163005319395
cri_tvla_1;jitter;20;0.0001425061645029489
cri_tvla_2;jitter;20;0.00016840504770097812
dlla9;jitter;20;0.6102007009154471
dlla2;jitter;20;0.9908580956415342
cri_tvla_1;jitter;24;0.0014167379704513243
cri_tvla_2;jitter;24;0.00010747852519759951
dlla9;jitter;24;0.8604651685570592
dlla2;jitter;24;0.5568625655581095
cri_tvla_1;jitter;28;0.0022025373220642946
cri_tvla_2;jitter;28;0.005172136534793125
dlla9;jitter;28;0.9106043468110583
dlla2;jitter;28;0.755299036438948
cri_tvla_1;jitter;32;0.018400712882506647
cri_tvla_2;jitter;32;0.005063718088383762
dlla9;jitter;32;0.5721240471763487
dlla2;jitter;32;0.8357894640936219
cri_tvla_1;jitter;36;0.008468693843106726
cri_tvla_2;jitter;36;0.0017165536490224673
dlla9;jitter;36;0.5225737856086038
dlla2;jitter;36;0.2999986400444883
cri_tvla_1;jitter;40;0.019771615634550103
cri_tvla_2;jitter;40;0.014898188620755214
dlla9;jitter;40;0.7662528161071853
dlla2;jitter;40;0.21575608666971197
cri_tvla_1;gauss;0;0.0
cri_tvla_2;gauss;0;3.577449412444325e-25
dlla9;gauss;0;0.0
dlla2;gauss;0;0.0
cri_tvla_1;gauss;2;0.0
cri_tvla_2;gauss;2;2.0799479031747806e-29
dlla9;gauss;2;0.0
dlla2;gauss;2;0.0
cri_tvla_1;gauss;4;0.0
cri_tvla_2;gauss;4;1.635569277980959e-09
dlla9;gauss;4;0.0
dlla2;gauss;4;0.0
cri_tvla_1;gauss;6;0.0
cri_tvla_2;gauss;6;3.1824321635731725e-08
dlla9;gauss;6;0.0
dlla2;gauss;6;0.0
cri_tvla_1;gauss;8;0.0
cri_tvla_2;gauss;8;4.748763325763603e-05
dlla9;gauss;8;0.0
dlla2;gauss;8;0.0
cri_tvla_1;gauss;10;0.0
cri_tvla_2;gauss;10;6.806174312690544e-05
dlla9;gauss;10;0.0
dlla2;gauss;10;0.0
cri_tvla_1;gauss;12;0.0
cri_tvla_2;gauss;12;0.0013514145882860488
dlla9;gauss;12;0.0
dlla2;gauss;12;0.0
cri_tvla_1;gauss;14;6.260705609829751e-307
cri_tvla_2;gauss;14;0.00027697437287767474
dlla9;gauss;14;0.0
dlla2;gauss;14;0.0
cri_tvla_1;gauss;16;8.176116201287854e-259
cri_tvla_2;gauss;16;0.0008800174967028433
dlla9;gauss;16;0.0
dlla2;gauss;16;0.0
cri_tvla_1;gauss;18;8.571466376561878e-194
cri_tvla_2;gauss;18;9.145477631211962e-06
dlla9;gauss;18;1.060480910432927e-292
dlla2;gauss;18;0.0
cri_tvla_1;gauss;20;4.0521855261698225e-167
cri_tvla_2;gauss;20;0.0040043275775414775
dlla9;gauss;20;3.0078400246576235e-226
dlla2;gauss;20;0.0
cri_tvla_1;gauss;22;3.218936034690823e-151
cri_tvla_2;gauss;22;0.005638896624836324
dlla9;gauss;22;3.413674593777758e-180
dlla2;gauss;22;2.740477872590875e-273
cri_tvla_1;gauss;24;1.1643640944555828e-121
cri_tvla_2;gauss;24;0.0015219765128186122
dlla9;gauss;24;1.5186819274665734e-140
dlla2;gauss;24;8.813222722184174e-244
cri_tvla_1;gauss;26;5.40691662146433e-120
cri_tvla_2;gauss;26;0.007835870182401554
dlla9;gauss;26;1.2198214669220377e-141
dlla2;gauss;26;4.009440822179995e-184
cri_tvla_1;gauss;28;3.045740800228719e-104
cri_tvla_2;gauss;28;0.001327352236316989
dlla9;gauss;28;8.547946439087516e-92
dlla2;gauss;28;8.64708498070111e-144
cri_tvla_1;gauss;30;1.6141512683361228e-85
cri_tvla_2;gauss;30;0.003907357655967082
dlla9;gauss;30;1.9938624393910944e-66
dlla2;gauss;30;8.989382243034355e-138
cri_tvla_1;jitter;0;0.0
cri_tvla_2;jitter;0;1.4623285128943636e-24
dlla9;jitter;0;0.0
dlla2;jitter;0;0.0
cri_tvla_1;jitter;4;0.0006288696776057273
cri_tvla_2;jitter;4;1.95956634284533e-06
dlla9;jitter;4;0.7141298794377371
dlla2;jitter;4;0.04528523812356595
cri_tvla_1;jitter;8;0.0014777440367109236
cri_tvla_2;jitter;8;7.605090885576457e-05
dlla9;jitter;8;0.5500955194935147
dlla2;jitter;8;0.5095085130548791
cri_tvla_1;jitter;12;0.0019183839420064725
cri_tvla_2;jitter;12;0.0003870323833366319
dlla9;jitter;12;0.6046715043264187
dlla2;jitter;12;0.4809883746642956
cri_tvla_1;jitter;16;0.010514192376167504
cri_tvla_2;jitter;16;0.0007769620811174374
dlla9;jitter;16;0.963448913836046
dlla2;jitter;16;0.16421053590637813
cri_tvla_1;jitter;20;0.002118481184075887
cri_tvla_2;jitter;20;0.00026044369438272093
dlla9;jitter;20;0.2406299166427587
dlla2;jitter;20;0.006160073560951945
cri_tvla_1;jitter;24;0.00043210760499913
cri_tvla_2;jitter;24;0.00011891877922921731
dlla9;jitter;24;0.2056178825844115
dlla2;jitter;24;0.5942012454626476
cri_tvla_1;jitter;28;0.003512299697879419
cri_tvla_2;jitter;28;0.0051153575105159915
dlla9;jitter;28;0.6848411810717655
dlla2;jitter;28;0.6034172259619511
cri_tvla_1;jitter;32;0.0046776182556277504
cri_tvla_2;jitter;32;0.002839586318772866
dlla9;jitter;32;0.5187851852522325
dlla2;jitter;32;0.026756261714934754
cri_tvla_1;jitter;36;0.01678336058772579
cri_tvla_2;jitter;36;0.002885644929946575
dlla9;jitter;36;0.5144638491996596
dlla2;jitter;36;0.007521761256658476
cri_tvla_1;jitter;40;0.03060339269024834
cri_tvla_2;jitter;40;0.007508872952378938
dlla9;jitter;40;0.8280719387926554
dlla2;jitter;40;0.7842439133302881
cri_tvla_1;gauss;0;0.0
cri_tvla_2;gauss;0;7.831617014002816e-25
dlla9;gauss;0;0.0
dlla2;gauss;0;0.0
cri_tvla_1;gauss;2;0.0
cri_tvla_2;gauss;2;1.6950363269010416e-17
dlla9;gauss;2;0.0
dlla2;gauss;2;0.0
cri_tvla_1;gauss;4;0.0
cri_tvla_2;gauss;4;4.093291401877444e-10
dlla9;gauss;4;0.0
dlla2;gauss;4;0.0
cri_tvla_1;gauss;6;0.0
cri_tvla_2;gauss;6;2.3068237676368394e-09
dlla9;gauss;6;0.0
dlla2;gauss;6;0.0
cri_tvla_1;gauss;8;0.0
cri_tvla_2;gauss;8;2.0140384819459058e-05
dlla9;gauss;8;0.0
dlla2;gauss;8;0.0
cri_tvla_1;gauss;10;0.0
cri_tvla_2;gauss;10;0.0010925318320136148
dlla9;gauss;10;0.0
dlla2;gauss;10;0.0
cri_tvla_1;gauss;12;0.0
cri_tvla_2;gauss;12;0.0010298262407402677
dlla9;gauss;12;0.0
dlla2;gauss;12;0.0
cri_tvla_1;gauss;14;0.0
cri_tvla_2;gauss;14;0.0004968555338201454
dlla9;gauss;14;0.0
dlla2;gauss;14;0.0
cri_tvla_1;gauss;16;1.3829644267947297e-253
cri_tvla_2;gauss;16;0.0008322309461610585
dlla9;gauss;16;0.0
dlla2;gauss;16;0.0
cri_tvla_1;gauss;18;1.180825882098149e-210
cri_tvla_2;gauss;18;0.0024256515481609234
dlla9;gauss;18;3.3785132399092433e-283
dlla2;gauss;18;0.0
cri_tvla_1;gauss;20;7.844118523157134e-196
cri_tvla_2;gauss;20;0.0022913126299927864
dlla9;gauss;20;1.7710280670081135e-216
dlla2;gauss;20;0.0
cri_tvla_1;gauss;22;2.470532364854846e-136
cri_tvla_2;gauss;22;0.00033039380730348383
dlla9;gauss;22;9.149225421521564e-177
dlla2;gauss;22;9.454412934801048e-291
cri_tvla_1;gauss;24;1.71401614895528e-122
cri_tvla_2;gauss;24;0.0077462154973230776
dlla9;gauss;24;1.5002108559400523e-148
dlla2;gauss;24;1.1255003082469135e-214
cri_tvla_1;gauss;26;1.4944250939591905e-115
cri_tvla_2;gauss;26;0.009998885949503183
dlla9;gauss;26;5.542272863440572e-127
dlla2;gauss;26;2.2811749088121094e-174
cri_tvla_1;gauss;28;1.0643203006868289e-113
cri_tvla_2;gauss;28;0.0013713482967778843
dlla9;gauss;28;2.0364087594715447e-101
dlla2;gauss;28;2.232378783015254e-152
cri_tvla_1;gauss;30;1.7127169692549465e-80
cri_tvla_2;gauss;30;0.0016236610860946817
dlla9;gauss;30;2.4360764789356873e-76
dlla2;gauss;30;6.922492607837115e-132
cri_tvla_1;jitter;0;0.0
cri_tvla_2;jitter;0;9.652930079799266e-26
dlla9;jitter;0;0.0
dlla2;jitter;0;0.0
cri_tvla_1;jitter;4;0.0014563953487901533
cri_tvla_2;jitter;4;3.7304848986727692e-06
dlla9;jitter;4;0.18280553256806129
dlla2;jitter;4;0.021376859128275378
cri_tvla_1;jitter;8;0.0018765552477639652
cri_tvla_2;jitter;8;0.00026520120815436024
dlla9;jitter;8;0.9480403251803278
dlla2;jitter;8;0.03887392093505305
cri_tvla_1;jitter;12;0.0021666807088737473
cri_tvla_2;jitter;12;0.00263489987462933
dlla9;jitter;12;0.38066261715277716
dlla2;jitter;12;0.6573426856206288
cri_tvla_1;jitter;16;0.0028716974164715433
cri_tvla_2;jitter;16;0.000609558474206833
dlla9;jitter;16;0.5729705105043712
dlla2;jitter;16;0.015036506861169256
cri_tvla_1;jitter;20;0.00019315939996184415
cri_tvla_2;jitter;20;2.8001607163537433e-05
dlla9;jitter;20;0.3641647713751277
dlla2;jitter;20;0.3783278775389177
cri_tvla_1;jitter;24;0.00014067963037349356
cri_tvla_2;jitter;24;2.666407025741483e-05
dlla9;jitter;24;0.40776902821108785
dlla2;jitter;24;0.7771997335511617
cri_tvla_1;jitter;28;0.0012877696558173933
cri_tvla_2;jitter;28;0.0006384525746455848
dlla9;jitter;28;0.7431735336470232
dlla2;jitter;28;0.9962039940763456
cri_tvla_1;jitter;32;0.0012752066888442827
cri_tvla_2;jitter;32;0.00547232886302666
dlla9;jitter;32;0.29896355626876403
dlla2;jitter;32;0.6307015178648461
