method;traces;pollution;param;p
cri_tvla_1;625;gauss;30;1.084970527153242e-29
cri_tvla_2;625;gauss;30;1.7458503560049227e-11
dlla9;625;gauss;30;2.430394862737906e-11
dlla2;625;gauss;30;1.4144388842396438e-06
cri_tvla_1;625;gauss;0;3.9468630930219385e-65
cri_tvla_2;625;gauss;0;9.217364137037939e-43
dlla9;625;gauss;0;4.702460197864105e-13
dlla2;625;gauss;0;0.00013576961714534264
cri_tvla_1;625;gauss;8;1.8433314348039698e-64
cri_tvla_2;625;gauss;8;1.5220164407026876e-30
dlla9;625;gauss;8;1.2364609683850303e-12
dlla2;625;gauss;8;0.0004703370141214691
cri_tvla_1;625;gauss;120;5.3495042277273486e-08
cri_tvla_2;625;gauss;120;3.754446939550002e-05
dlla9;625;gauss;120;7.766988165004054e-12
dlla2;625;gauss;120;0.22039953367129783
cri_tvla_1;500;gauss;120;1.4524181277027563e-08
cri_tvla_2;500;gauss;120;2.094613430498568e-05
dlla9;500;gauss;120;4.965506012955338e-08
dlla2;500;gauss;120;5.653710104525089e-05
cri_tvla_1;500;gauss;100;4.154354271823937e-09
cri_tvla_2;500;gauss;100;1.0581947982972789e-05
dlla9;500;gauss;100;1.673602231980247e-11
dlla2;500;gauss;100;1.2780074030160904e-06
cri_tvla_1;250;gauss;100;9.240963584347384e-06
cri_tvla_2;250;gauss;100;6.721476236403961e-06
dlla9;250;gauss;100;9.182872837821676e-08
dlla2;250;gauss;100;0.13158798217773438
cri_tvla_1;250;gauss;200;6.217007912268194e-05
cri_tvla_2;250;gauss;200;8.13367432469894e-05
dlla9;250;gauss;200;0.006829146221849441
dlla2;250;gauss;200;0.057659149169921875
cri_tvla_1;250;gauss;0;3.778148572221284e-24
cri_tvla_2;250;gauss;0;1.5560368665739886e-17
dlla9;250;gauss;0;0.001958633813444046
dlla2;250;gauss;0;0.057659149169921875
cri_tvla_1;250;gauss;8;1.0172592663142158e-22
cri_tvla_2;250;gauss;8;6.616838900414635e-17
dlla9;250;gauss;8;2.4573965595988896e-08
dlla2;250;gauss;8;0.005908966064453125
cri_tvla_1;250;gauss;16;1.7883237244635794e-19
cri_tvla_2;250;gauss;16;1.0548563743492552e-15
dlla9;250;gauss;16;1.8688019583822656e-05
dlla2;250;gauss;16;0.005908966064453125
cri_tvla_1;250;gauss;24;8.776048790000602e-17
cri_tvla_2;250;gauss;24;9.821470859698557e-11
dlla9;250;gauss;24;0.00020602000302539014
dlla2;250;gauss;24;0.0012884140014648438
cri_tvla_1;250;gauss;32;2.9552121908393734e-18
cri_tvla_2;250;gauss;32;1.7387213537619138e-08
dlla9;250;gauss;32;0.0002804563857050995
dlla2;250;gauss;32;0.005908966064453125
cri_tvla_1;250;gauss;40;4.038421333720099e-12
cri_tvla_2;250;gauss;40;5.117074834365239e-06
dlla9;250;gauss;40;5.864538633529108e-06
dlla2;250;gauss;40;0.00020122528076171875
cri_tvla_1;250;gauss;48;1.3334978501497011e-08
cri_tvla_2;250;gauss;48;9.81308527919242e-06
dlla9;250;gauss;48;4.168304299202647e-06
dlla2;250;gauss;48;0.0012884140014648438
cri_tvla_1;250;gauss;56;2.6938499485942246e-08
cri_tvla_2;250;gauss;56;2.735809123916502e-05
dlla9;250;gauss;56;7.377720651269165e-05
dlla2;250;gauss;56;0.057659149169921875
cri_tvla_1;1250;gauss;200;5.498588192137886e-08
