method;traces;pollution;param;p
cri_tvla_1;5000;jitter;40;1.1694014508161756e-101
cri_tvla_2;5000;jitter;40;4.615272822370962e-109
dlla9;5000;jitter;40;3.418751285170627e-86
dlla2;5000;jitter;40;1.0742040828421212e-30
cri_tvla_1;125;jitter;40;9.699101357091026e-08
cri_tvla_2;125;jitter;40;1.543684695866578e-08
dlla9;125;jitter;40;0.2523648390509495
dlla2;125;jitter;40;0.14453125
cri_tvla_1;62;jitter;40;0.00014130937777600395
cri_tvla_2;62;jitter;40;7.028711262581098e-05
dlla9;62;jitter;40;nan
dlla2;62;jitter;40;0.75
cri_tvla_1;62;jitter;40;0.0007472943827778841
cri_tvla_2;62;jitter;40;2.6145579095634938e-06
dlla9;62;jitter;40;nan
dlla2;62;jitter;40;0.75
cri_tvla_1;62;jitter;40;0.00014812708176838586
cri_tvla_2;62;jitter;40;4.818736284573734e-07
dlla9;62;jitter;40;nan
dlla2;62;jitter;40;0.25
cri_tvla_1;62;jitter;40;0.0012213309538225546
cri_tvla_2;62;jitter;40;4.14728914218343e-05
dlla9;62;jitter;40;nan
dlla2;62;jitter;40;0.75
cri_tvla_1;62;jitter;40;0.00012689505610961687
cri_tvla_2;62;jitter;40;1.7048913441505344e-05
dlla9;62;jitter;40;nan
dlla2;62;jitter;40;0.75
cri_tvla_1;62;jitter;40;2.7399668193273016e-06
cri_tvla_2;62;jitter;40;1.3918383079280242e-06
dlla9;62;jitter;40;nan
dlla2;62;jitter;40;0.75
cri_tvla_1;62;jitter;40;0.0019184528568802017
cri_tvla_2;62;jitter;40;7.88502113875394e-05
dlla9;62;jitter;40;1.0
dlla2;62;jitter;40;0.25
cri_tvla_1;12;jitter;40;nan
cri_tvla_2;12;jitter;40;nan
dlla9;12;jitter;40;1.0
dlla2;12;jitter;40;1.0
cri_tvla_1;25;jitter;40;4.95126056102001e-06
cri_tvla_2;25;jitter;40;1.311227056077864e-10
dlla9;25;jitter;40;1.0
dlla2;25;jitter;40;1.0
cri_tvla_1;25;jitter;40;nan
cri_tvla_2;25;jitter;40;nan
dlla9;25;jitter;40;1.0
dlla2;25;jitter;40;1.0
cri_tvla_1;25;jitter;40;7.691389713982316e-05
cri_tvla_2;25;jitter;40;9.79525840451826e-05
dlla9;25;jitter;40;1.0
dlla2;25;jitter;40;1.0
cri_tvla_1;25;jitter;40;nan
cri_tvla_2;25;jitter;40;nan
dlla9;25;jitter;40;1.0
dlla2;25;jitter;40;1.0
cri_tvla_1;125;jitter;40;2.3697785458463254e-06
cri_tvla_2;125;jitter;40;4.937188635106191e-06
dlla9;125;jitter;40;0.4598622666930604
dlla2;125;jitter;40;0.14453125
cri_tvla_1;125;jitter;40;2.8518935182155264e-06
cri_tvla_2;125;jitter;40;2.434770806542542e-06
dlla9;125;jitter;40;0.6088466417495436
dlla2;125;jitter;40;0.14453125
cri_tvla_1;7500;jitter;40;2.8429479135439714e-150
cri_tvla_2;7500;jitter;40;1.3142379440360393e-165
dlla9;7500;jitter;40;0.002667120611789451
dlla2;7500;jitter;40;0.0003437522586564295
cri_tvla_1;7500;jitter;40;2.3000014216382322e-153
cri_tvla_2;7500;jitter;40;1.4420764895414758e-152
dlla9;7500;jitter;40;3.954972842896316e-05
dlla2;7500;jitter;40;0.00017945244990205984
cri_tvla_1;7500;delay;0.1;0.0
cri_tvla_2;7500;delay;0.1;0.0
dlla9;7500;delay;0.1;0.0033402235989370686
dlla2;7500;delay;0.1;0.005799317224517616
cri_tvla_1;7500;delay;0.1;0.0
cri_tvla_2;7500;delay;0.1;0.0
dlla9;7500;delay;0.1;0.0006714331012965656
dlla2;7500;delay;0.1;0.00047070479296677613
cri_tvla_1;7500;delay;0.1;0.0
cri_tvla_2;7500;delay;0.1;0.0
dlla9;7500;delay;0.1;0.0011705896231124157
dlla2;7500;delay;0.1;0.0015415930454539739
cri_tvla_1;1250;delay;0.1;7.605040277750157e-110
cri_tvla_2;1250;delay;0.1;5.093445388443635e-80
dlla9;1250;delay;0.1;0.8279827418259277
dlla2;1250;delay;0.1;0.4549732259372621
cri_tvla_1;1250;gauss;30;3.424729668984691e-58
cri_tvla_2;1250;gauss;30;3.430518824376387e-21
dlla9;1250;gauss;30;0.186237502574596
dlla2;1250;gauss;30;0.7142066409984639
cri_tvla_1;125;gauss;30;7.220498692053878e-13
cri_tvla_2;125;gauss;30;1.7235741093357544e-06
dlla9;125;gauss;30;0.7090694153191281
dlla2;125;gauss;30;0.63671875
cri_tvla_1;125;gauss;30;2.5950138131176848e-08
cri_tvla_2;125;gauss;30;4.818156891740177e-07
dlla9;125;gauss;30;0.7432168275663649
dlla2;125;gauss;30;0.63671875
cri_tvla_1;125;gauss;30;3.425915636745153e-10
cri_tvla_2;125;gauss;30;1.6885528421616178e-06
dlla9;125;gauss;30;0.003618572856700537
dlla2;125;gauss;30;0.03515625
cri_tvla_1;1250;gauss;30;4.0250939482770476e-53
cri_tvla_2;1250;gauss;30;1.8774975146643005e-19
dlla9;1250;gauss;30;3.264896775431606e-18
dlla2;1250;gauss;30;1.8743305847163492e-08
