method;pollution;param;p
dlla9;gauss;0;2.1206494031522783e-14
dlla2;gauss;0;1.8642056081054653e-11
dlla9;gauss;2;5.563395663967053e-06
dlla2;gauss;2;0.0015128485461268382
dlla9;gauss;4;0.00040359464544016205
dlla2;gauss;4;0.016635381483503804
dlla9;gauss;6;0.05176376728961146
dlla2;gauss;6;0.013733042089978564
dlla9;gauss;8;0.18197386210064784
dlla2;gauss;8;0.29729369131626104
dlla9;gauss;10;0.604608651757663
dlla2;gauss;10;0.7530936565896136
dlla9;gauss;12;0.5015734047567254
dlla2;gauss;12;0.38052038024011203
dlla9;gauss;14;0.9715014092756515
dlla2;gauss;14;0.29729369131626104
dlla9;gauss;16;0.3251136947399148
dlla2;gauss;16;0.09809443413738511
dlla9;gauss;18;0.4262350058605303
dlla2;gauss;18;0.5
dlla9;gauss;20;0.3147463822734367
dlla2;gauss;20;0.7764581522550666
dlla9;gauss;22;0.9894954752497837
dlla2;gauss;22;0.5
dlla9;gauss;24;0.16242258865955875
dlla2;gauss;24;0.2014889952268754
dlla9;gauss;26;0.5057785499226561
dlla2;gauss;26;0.9448225990098429
dlla9;gauss;28;0.8859109146426694
dlla2;gauss;28;0.14357370128704078
dlla9;gauss;30;0.46978816704320026
dlla2;gauss;30;0.007488909335178084
dlla9;gauss;32;0.6630942302242306
dlla2;gauss;32;0.11190535067984769
dlla9;gauss;34;0.10828514756114546
dlla2;gauss;34;0.3519196486230246
dlla9;gauss;36;0.803808597594535
dlla2;gauss;36;0.32413331000286316
dlla9;gauss;38;0.6469813833228417
dlla2;gauss;38;0.08557551845852679
dlla9;gauss;40;0.4326033603099765
dlla2;gauss;40;0.7284821111680986
dlla9;gauss;0;2.318840422574085e-13
dlla2;gauss;0;2.79459792422075e-05
dlla9;gauss;2;1.1162417299232704e-09
dlla2;gauss;2;0.0015128485461268382
cri_tvla_1;gauss;0;0.05486557471595076
cri_tvla_2;gauss;0;1.427549684109942e-11
dlla9;gauss;0;3.359479186089109e-16
dlla2;gauss;0;7.772989522701831e-08
cri_tvla_1;gauss;2;0.030774412668699187
cri_tvla_2;gauss;2;1.8324968748596122e-09
dlla9;gauss;2;3.0499277335529087e-09
dlla2;gauss;2;0.013733042089978564
cri_tvla_1;gauss;0;0.0300769810073612
cri_tvla_2;gauss;0;2.5162071172053123e-09
dlla9;gauss;0;3.077885336035705e-17
dlla2;gauss;0;1.4276355148093259e-08
cri_tvla_1;gauss;2;0.018648503930234643
cri_tvla_2;gauss;2;7.782274120815297e-10
dlla9;gauss;2;2.411416006030684e-07
dlla2;gauss;2;0.0024536406426705743
cri_tvla_1;gauss;4;0.006081909663722667
cri_tvla_2;gauss;4;7.130304934663604e-09
dlla9;gauss;4;0.00016232748396909224
dlla2;gauss;4;0.013733042089978564
cri_tvla_1;gauss;6;0.026062180753734808
cri_tvla_2;gauss;6;6.15023317776798e-05
dlla9;gauss;6;0.020670816436028597
dlla2;gauss;6;0.055177400990157166
cri_tvla_1;gauss;8;0.00787606787158826
cri_tvla_2;gauss;8;2.7232187830775716e-05
dlla9;gauss;8;0.2878465847848675
dlla2;gauss;8;0.5303018246014707
cri_tvla_1;gauss;10;0.003400582608317951
cri_tvla_2;gauss;10;1.465581012087901e-05
dlla9;gauss;10;0.22775301389737174
dlla2;gauss;10;0.8192059352229094
cri_tvla_1;gauss;12;0.024756600573742682
cri_tvla_2;gauss;12;0.018108487699002557
dlla9;gauss;12;0.0313386697927861
dlla2;gauss;12;0.24690634341038636
cri_tvla_1;gauss;14;0.018292747774311002
cri_tvla_2;gauss;14;0.028242594544572265
dlla9;gauss;14;0.9749152279420799
dlla2;gauss;14;0.38052038024011203
cri_tvla_1;gauss;16;0.0527241675585068
cri_tvla_2;gauss;16;0.0071185128217275935
dlla9;gauss;16;0.24021167323312467
dlla2;gauss;16;0.007488909335178084
cri_tvla_1;gauss;18;0.01381258565853388
cri_tvla_2;gauss;18;0.03001026512261279
dlla9;gauss;18;0.23608983443582526
dlla2;gauss;18;0.9759646785392468
cri_tvla_1;gauss;20;0.038865546723789925
cri_tvla_2;gauss;20;0.023111355196111186
dlla9;gauss;20;0.6596697255547683
dlla2;gauss;20;0.1270538329604073
cri_tvla_1;gauss;22;0.017891286115884288
cri_tvla_2;gauss;22;0.040581239785538056
dlla9;gauss;22;0.7061579540432368
dlla2;gauss;22;0.2715178888319014
cri_tvla_1;gauss;24;0.04514351265954212
cri_tvla_2;gauss;24;0.02519588282160105
dlla9;gauss;24;0.12445728888257004
dlla2;gauss;24;0.4097897787440413
cri_tvla_1;gauss;26;0.033964973705026984
cri_tvla_2;gauss;26;0.005327918832643704
dlla9;gauss;26;0.7963283891758497
dlla2;gauss;26;0.6758666899971368
cri_tvla_1;gauss;0;0.061714989466867175
cri_tvla_2;gauss;0;4.726080547256548e-10
dlla9;gauss;0;0.0
dlla2;gauss;0;0.0
cri_tvla_1;gauss;2;0.0310223201394234
cri_tvla_2;gauss;2;1.1029462882737032e-07
dlla9;gauss;2;0.0
dlla2;gauss;2;9.787623128894289e-207
cri_tvla_1;gauss;0;0.034048162439517964
cri_tvla_2;gauss;0;3.433308870903443e-12
dlla9;gauss;0;0.0
dlla2;gauss;0;0.0
cri_tvla_1;gauss;1;0.022426089213460516
cri_tvla_2;gauss;1;3.6664892951621666e-10
dlla9;gauss;1;0.0
dlla2;gauss;1;0.0
cri_tvla_1;gauss;0;0.028801659597453948
cri_tvla_2;gauss;0;5.964368182098207e-11
dlla9;gauss;0;0.0
dlla2;gauss;0;0.0
cri_tvla_1;gauss;1;0.023409706151399656
cri_tvla_2;gauss;1;3.182735308924769e-09
dlla9;gauss;1;0.0
dlla2;gauss;1;0.0
cri_tvla_1;gauss;2;0.007450044501733007
cri_tvla_2;gauss;2;2.277171028235232e-12
dlla9;gauss;2;0.0
dlla2;gauss;2;3.9678198786623357e-172
cri_tvla_1;gauss;3;0.014460850009793916
cri_tvla_2;gauss;3;1.872297047734783e-09
dlla9;gauss;3;0.0
dlla2;gauss;3;2.2699300477321954e-125
cri_tvla_1;gauss;4;0.01599612492528338
cri_tvla_2;gauss;4;2.6050165773154566e-11
dlla9;gauss;4;4.840800821425977e-229
dlla2;gauss;4;4.3872732073051865e-83
cri_tvla_1;gauss;5;0.007160834967587793
cri_tvla_2;gauss;5;1.3576344253203346e-08
dlla9;gauss;5;7.933576977428055e-180
dlla2;gauss;5;5.750422661268053e-66
