method;pollution;param;p
cri_tvla_1;jitter;0;0.0
cri_tvla_2;jitter;0;2.572662443563928e-213
dlla9;jitter;0;0.0
dlla2;jitter;0;0.0
cri_tvla_1;jitter;4;2.6114320268436874e-15
cri_tvla_2;jitter;4;5.58863914968065e-29
dlla9;jitter;4;4.1138213087011504e-27
dlla2;jitter;4;7.361934398680176e-21
cri_tvla_1;jitter;8;2.7642383421825323e-06
cri_tvla_2;jitter;8;1.5770753214558761e-12
dlla9;jitter;8;0.0007867806938174644
dlla2;jitter;8;0.052087270223763485
cri_tvla_1;jitter;12;3.876895062330787e-09
cri_tvla_2;jitter;12;1.7287424541494062e-13
dlla9;jitter;12;4.981118371603464e-07
dlla2;jitter;12;0.006951163230122877
cri_tvla_1;jitter;16;5.6677856366972e-05
cri_tvla_2;jitter;16;3.4268337991587475e-11
dlla9;jitter;16;0.24049161860070686
dlla2;jitter;16;0.026769210762774776
cri_tvla_1;jitter;20;6.086210137831769e-06
cri_tvla_2;jitter;20;7.584710027048324e-12
dlla9;jitter;20;0.00046344532673803186
dlla2;jitter;20;0.014210058421155502
cri_tvla_1;jitter;24;2.6932428040996685e-07
cri_tvla_2;jitter;24;1.9646839872242583e-10
dlla9;jitter;24;0.12815840058806877
dlla2;jitter;24;0.027233834610860177
cri_tvla_1;jitter;28;0.0011243434931118425
cri_tvla_2;jitter;28;1.459807975744919e-06
dlla9;jitter;28;0.022275178679960404
dlla2;jitter;28;0.05534177531890977
cri_tvla_1;jitter;32;0.0005477283880253685
cri_tvla_2;jitter;32;8.040501011412688e-10
dlla9;jitter;32;0.726473970133403
dlla2;jitter;32;0.18954974674596287
cri_tvla_1;jitter;36;3.5608638800624406e-05
cri_tvla_2;jitter;36;9.958638115921414e-07
dlla9;jitter;36;0.19399933988415366
dlla2;jitter;36;0.5913697839791525
cri_tvla_1;jitter;40;6.316446592440449e-05
cri_tvla_2;jitter;40;1.267859032788994e-05
dlla9;jitter;40;0.21768314987523554
dlla2;jitter;40;0.3061254059167008
cri_tvla_1;jitter;0;0.0
cri_tvla_2;jitter;0;2.0091283377177117e-206
dlla9;jitter;0;0.0
dlla2;jitter;0;0.0
cri_tvla_1;jitter;4;5.5472253998444725e-11
cri_tvla_2;jitter;4;1.4271810964317526e-23
dlla9;jitter;4;1.6053243253303304e-17
dlla2;jitter;4;4.036603301045133e-24
cri_tvla_1;jitter;8;2.5757587796103555e-06
cri_tvla_2;jitter;8;9.130434193477316e-13
dlla9;jitter;8;2.030990633710333e-07
dlla2;jitter;8;0.0005477160866876053
cri_tvla_1;jitter;12;1.9601701571441957e-08
cri_tvla_2;jitter;12;1.0772540037572773e-14
dlla9;jitter;12;0.00013206381241613407
dlla2;jitter;12;0.0009409493899261178
cri_tvla_1;jitter;16;5.806469396402076e-05
cri_tvla_2;jitter;16;3.6936580095398546e-07
dlla9;jitter;16;0.0006417565415573843
dlla2;jitter;16;0.006394477218127766
cri_tvla_1;jitter;20;8.410411831170907e-05
cri_tvla_2;jitter;20;2.1154512216164745e-09
dlla9;jitter;20;0.007881852371974944
dlla2;jitter;20;1.5451115849395793e-05
cri_tvla_1;jitter;24;7.234002817592796e-07
cri_tvla_2;jitter;24;8.128439250404497e-09
dlla9;jitter;24;0.08198484295772657
dlla2;jitter;24;0.1662718047144166
cri_tvla_1;jitter;28;0.0008186301737273383
cri_tvla_2;jitter;28;7.31959312276384e-07
dlla9;jitter;28;0.5138696124960587
dlla2;jitter;28;0.027233834610860177
cri_tvla_1;jitter;32;0.0003920180226339894
cri_tvla_2;jitter;32;3.86691381624451e-06
dlla9;jitter;32;0.06025921002787987
dlla2;jitter;32;0.31137541753344067
cri_tvla_1;jitter;36;0.0006213988111572581
cri_tvla_2;jitter;36;7.791280257400676e-07
dlla9;jitter;36;0.006713357387691382
dlla2;jitter;36;0.3436547303171602
cri_tvla_1;jitter;40;0.0016273353927897952
cri_tvla_2;jitter;40;4.207320235864306e-06
dlla9;jitter;40;0.00038158060665213956
dlla2;jitter;40;0.330048821129176
