method;pollution;param;p
cri_tvla_2;gauss;0;1.1588175002711265e-183
dlla9;gauss;0;0.0
dlla2;gauss;0;0.0
cri_tvla_2;gauss;2;7.030061602942535e-155
dlla9;gauss;2;0.0
dlla2;gauss;2;0.0
cri_tvla_2;gauss;4;1.3446687355167516e-82
dlla9;gauss;4;0.0
dlla2;gauss;4;0.0
cri_tvla_2;gauss;6;7.625812197722864e-45
dlla9;gauss;6;0.0
dlla2;gauss;6;0.0
cri_tvla_2;gauss;8;8.49721918864274e-23
dlla9;gauss;8;0.0
dlla2;gauss;8;0.0
cri_tvla_2;gauss;10;1.5932304970948317e-13
dlla9;gauss;10;0.0
dlla2;gauss;10;0.0
cri_tvla_2;gauss;12;5.823870575503603e-10
dlla9;gauss;12;0.0
dlla2;gauss;12;0.0
cri_tvla_2;gauss;0;1.1183372357718074e-202
dlla9;gauss;0;0.0
dlla2;gauss;0;0.0
cri_tvla_2;gauss;2;1.2263507995791123e-171
dlla9;gauss;2;0.0
dlla2;gauss;2;0.0
cri_tvla_2;gauss;4;8.693108318381512e-78
dlla9;gauss;4;0.0
dlla2;gauss;4;0.0
cri_tvla_2;gauss;6;1.3818194931204522e-46
dlla9;gauss;6;0.0
dlla2;gauss;6;0.0
cri_tvla_2;gauss;8;3.1764784041736417e-19
dlla9;gauss;8;0.0
dlla2;gauss;8;0.0
cri_tvla_2;gauss;10;2.4554150263254534e-09
dlla9;gauss;10;0.0
dlla2;gauss;10;0.0
cri_tvla_2;gauss;12;1.7862036708299244e-08
dlla9;gauss;12;0.0
dlla2;gauss;12;0.0
cri_tvla_2;gauss;14;1.3243203084228025e-05
dlla9;gauss;14;0.0
dlla2;gauss;14;0.0
cri_tvla_2;gauss;16;1.2863109812184142e-07
dlla9;gauss;16;0.0
dlla2;gauss;16;0.0
cri_tvla_2;gauss;18;0.0011151649078673753
dlla9;gauss;18;0.0
dlla2;gauss;18;0.0
cri_tvla_2;gauss;20;0.0003920244216849553
dlla9;gauss;20;0.0
dlla2;gauss;20;0.0
cri_tvla_2;gauss;22;0.0015170915033654836
dlla9;gauss;22;0.0
dlla2;gauss;22;0.0
cri_tvla_2;gauss;24;0.002807438208796702
dlla9;gauss;24;0.0
dlla2;gauss;24;0.0
cri_tvla_2;gauss;26;0.00024013850466945443
dlla9;gauss;26;0.0
dlla2;gauss;26;0.0
cri_tvla_2;gauss;28;0.0018560977922430523
dlla9;gauss;28;0.0
dlla2;gauss;28;0.0
cri_tvla_2;gauss;100;0.009574458666197409
dlla9;gauss;100;4.5229984499656076e-71
dlla2;gauss;100;1.8479032405765038e-47
cri_tvla_2;gauss;200;0.0005163061671159388
dlla9;gauss;200;9.307621040247754e-11
dlla2;gauss;200;1.7601614763023863e-05
cri_tvla_0;gauss;40;1
cri_tvla_1;gauss;40;2
dlla9;gauss;40;0.0
dlla2;gauss;40;0.0
cri_tvla_0;gauss;200;1
cri_tvla_1;gauss;200;2
dlla9;gauss;200;4.598728388680693e-06
dlla2;gauss;200;0.00032023247437222867
cri_tvla_1;jitter;0;0.0
cri_tvla_2;jitter;0;1.2595792565446858e-206
dlla9;jitter;0;0.0
dlla2;jitter;0;0.0
cri_tvla_1;jitter;4;1.02344739167431e-10
cri_tvla_2;jitter;4;2.097725556421734e-22
dlla9;jitter;4;3.872653760719314e-21
dlla2;jitter;4;2.382620761952139e-21
cri_tvla_1;jitter;8;3.0251861959340464e-06
cri_tvla_2;jitter;8;4.7117841497344384e-14
dlla9;jitter;8;0.0005657489364962896
dlla2;jitter;8;0.03280301213610491
cri_tvla_1;jitter;12;3.5274847691621735e-08
cri_tvla_2;jitter;12;8.615989164380349e-12
dlla9;jitter;12;0.1883693799243437
dlla2;jitter;12;0.07835329774028411
cri_tvla_1;jitter;16;0.0018116397701301793
cri_tvla_2;jitter;16;1.0964376079887623e-08
dlla9;jitter;16;0.5311730530378778
dlla2;jitter;16;0.029160115067854313
cri_tvla_1;jitter;20;1.3898104003969284e-07
cri_tvla_2;jitter;20;7.730904056879159e-12
dlla9;jitter;20;1.6428496337368784e-07
dlla2;jitter;20;0.001959258324733506
cri_tvla_1;jitter;24;2.0925541988147922e-07
cri_tvla_2;jitter;24;1.3603058661802085e-12
dlla9;jitter;24;0.07110577933372914
dlla2;jitter;24;0.03016491634589332
cri_tvla_1;jitter;28;0.0005779926968917461
cri_tvla_2;jitter;28;2.5257906635581665e-06
dlla9;jitter;28;0.03798006682049989
dlla2;jitter;28;0.204010962228851
cri_tvla_1;jitter;32;0.0009085821029532728
cri_tvla_2;jitter;32;2.8626738528168104e-07
dlla9;jitter;32;0.08985165439894473
dlla2;jitter;32;0.22577275649978723
cri_tvla_1;jitter;36;0.002429902292140952
cri_tvla_2;jitter;36;6.913514169137052e-08
dlla9;jitter;36;0.12492739531745416
dlla2;jitter;36;0.45844413874398526
cri_tvla_1;jitter;40;0.0008978402180550809
cri_tvla_2;jitter;40;8.046932861573032e-06
dlla9;jitter;40;0.18524461962843392
dlla2;jitter;40;0.3827925012492758
cri_tvla_1;delay;0.5;7.613914734794607e-25
cri_tvla_2;delay;0.5;1.0035958335867734e-51
dlla9;delay;0.5;1.1875266292074744e-175
dlla2;delay;0.5;3.0808911625230803e-171
cri_tvla_1;jitter;0;0.0
cri_tvla_2;jitter;0;1.4823433582814311e-198
dlla9;jitter;0;0.0
dlla2;jitter;0;0.0
cri_tvla_1;jitter;4;1.9831882858311094e-14
cri_tvla_2;jitter;4;5.135061631043694e-22
dlla9;jitter;4;2.5619349103979777e-33
dlla2;jitter;4;2.198505698770546e-24
cri_tvla_1;jitter;8;8.036606158207462e-07
cri_tvla_2;jitter;8;1.9024321088303714e-11
dlla9;jitter;8;0.0005682689006062063
dlla2;jitter;8;0.029160115067854313
cri_tvla_1;jitter;12;6.137206007779784e-08
cri_tvla_2;jitter;12;1.3995112703715578e-13
dlla9;jitter;12;0.0033764709720451314
dlla2;jitter;12;0.0006749269762983772
cri_tvla_1;jitter;16;4.8605276588948325e-05
cri_tvla_2;jitter;16;2.647053469708704e-09
dlla9;jitter;16;0.019480912967028665
dlla2;jitter;16;0.10254940246938121
cri_tvla_1;jitter;20;3.5130071470356565e-06
cri_tvla_2;jitter;20;8.037743190718033e-10
dlla9;jitter;20;0.0003018540961409697
dlla2;jitter;20;0.00043130703352071276
cri_tvla_1;jitter;24;3.1655479779060325e-06
cri_tvla_2;jitter;24;3.1785021273072958e-12
dlla9;jitter;24;0.057040442806931255
dlla2;jitter;24;0.16257966014602038
cri_tvla_1;jitter;28;0.004078951301680295
cri_tvla_2;jitter;28;1.1645442207432897e-07
dlla9;jitter;28;0.3714992575760112
dlla2;jitter;28;0.23712796713732942
cri_tvla_1;jitter;32;0.0004789840915578747
cri_tvla_2;jitter;32;1.3632372388900925e-07
dlla9;jitter;32;0.10039579615520734
dlla2;jitter;32;0.18553671818654904
cri_tvla_1;jitter;36;0.0001625884360665771
cri_tvla_2;jitter;36;5.963370333679752e-06
dlla9;jitter;36;0.020704311124613295
dlla2;jitter;36;0.016207274805609056
cri_tvla_1;jitter;40;0.0006530953988789914
cri_tvla_2;jitter;40;9.83276810461494e-07
dlla9;jitter;40;0.01723343378818439
dlla2;jitter;40;0.06703701519620181
cri_tvla_1;delay;0.5;1.9779685732909143e-34
cri_tvla_2;delay;0.5;7.009283006253909e-59
dlla9;delay;0.5;6.54163798861263e-201
dlla2;delay;0.5;7.635754626389157e-151
cri_tvla_1;jitter;0;0.0
cri_tvla_2;jitter;0;2.5495369491175932e-199
dlla9;jitter;0;0.0
dlla2;jitter;0;0.0
cri_tvla_1;jitter;4;1.0497520862154422e-10
cri_tvla_2;jitter;4;1.840677980903792e-21
dlla9;jitter;4;2.293699730658555e-23
dlla2;jitter;4;4.467951573197136e-20
cri_tvla_1;jitter;8;3.346490586459879e-08
cri_tvla_2;jitter;8;6.15148923622312e-12
dlla9;jitter;8;0.0002505046124894469
dlla2;jitter;8;0.001237949686272811
cri_tvla_1;jitter;12;9.346292623714559e-08
cri_tvla_2;jitter;12;6.293286065248781e-12
dlla9;jitter;12;0.030373689276910427
dlla2;jitter;12;0.03016491634589332
cri_tvla_1;jitter;16;0.00012304938427194753
cri_tvla_2;jitter;16;1.687417612145866e-07
dlla9;jitter;16;0.0018443689407692694
dlla2;jitter;16;0.13823904766034767
cri_tvla_1;jitter;20;2.139269394792078e-05
cri_tvla_2;jitter;20;2.1021718729732421e-10
dlla9;jitter;20;9.266437495456286e-05
dlla2;jitter;20;0.005061703292112141
cri_tvla_1;jitter;24;1.6780751740861515e-06
cri_tvla_2;jitter;24;3.328527562659955e-12
dlla9;jitter;24;0.4694027736354711
dlla2;jitter;24;0.017134200748589613
cri_tvla_1;jitter;28;0.0007706783254068253
cri_tvla_2;jitter;28;5.754778625427736e-07
dlla9;jitter;28;0.5447522923810332
dlla2;jitter;28;0.6172074987507242
cri_tvla_1;jitter;32;0.0006851561044268819
cri_tvla_2;jitter;32;8.17620338077702e-07
dlla9;jitter;32;0.808076843575004
dlla2;jitter;32;0.05788642707510769
cri_tvla_1;jitter;36;0.00028506209809534575
cri_tvla_2;jitter;36;2.037796973930077e-05
dlla9;jitter;36;0.028915878626108525
dlla2;jitter;36;0.0002053316506989667
cri_tvla_1;jitter;40;0.0024407741460546273
cri_tvla_2;jitter;40;3.6292723011033443e-06
dlla9;jitter;40;0.07906785349300444
dlla2;jitter;40;0.13823904766034767
cri_tvla_1;delay;0.5;1.0476189142574806e-29
cri_tvla_2;delay;0.5;6.625083279083745e-45
dlla9;delay;0.5;1.0211154653948611e-166
dlla2;delay;0.5;1.1095268229976813e-217
cri_tvla_1;jitter;0;0.0
cri_tvla_2;jitter;0;6.082279513672924e-209
dlla9;jitter;0;0.0
dlla2;jitter;0;0.0
cri_tvla_1;jitter;4;2.0303751151722516e-11
cri_tvla_2;jitter;4;5.065107351827682e-21
dlla9;jitter;4;7.95960774578712e-16
dlla2;jitter;4;5.102704665907849e-19
cri_tvla_1;jitter;8;2.4804534675247154e-06
cri_tvla_2;jitter;8;3.8262915351199155e-13
dlla9;jitter;8;0.008424704530623085
dlla2;jitter;8;0.00173941983162886
cri_tvla_1;jitter;12;3.860341345376912e-09
cri_tvla_2;jitter;12;1.5314794455975113e-12
dlla9;jitter;12;0.06876964204930505
dlla2;jitter;12;0.11650925548144464
cri_tvla_1;jitter;16;0.0007632017365211251
cri_tvla_2;jitter;16;1.753305293616161e-08
dlla9;jitter;16;0.03921252760587422
dlla2;jitter;16;0.024544271646930422
cri_tvla_1;jitter;20;1.5838852319703306e-05
cri_tvla_2;jitter;20;4.753044246392517e-10
dlla9;jitter;20;0.004166615281779821
dlla2;jitter;20;0.00802887808770821
cri_tvla_1;jitter;24;2.5597474006663916e-06
cri_tvla_2;jitter;24;3.0659295823197506e-11
dlla9;jitter;24;0.3918984421808196
dlla2;jitter;24;0.10797997713453672
cri_tvla_1;jitter;28;7.228024388615108e-05
cri_tvla_2;jitter;28;3.798494696491692e-06
dlla9;jitter;28;0.04213190609064367
dlla2;jitter;28;0.12550573777758112
cri_tvla_1;jitter;32;0.0003202540525469229
cri_tvla_2;jitter;32;5.589390642878011e-07
dlla9;jitter;32;0.8762006150777192
dlla2;jitter;32;0.010843885197546975
cri_tvla_1;jitter;36;0.0012802680779322943
cri_tvla_2;jitter;36;1.1123331401102749e-05
dlla9;jitter;36;0.38610146995314887
dlla2;jitter;36;0.03447521690907005
cri_tvla_1;jitter;40;0.0003979010863346046
cri_tvla_2;jitter;40;3.710082281280745e-06
dlla9;jitter;40;0.02655819064193207
dlla2;jitter;40;0.6425337402254391
cri_tvla_1;delay;0.5;5.369515736325959e-33
cri_tvla_2;delay;0.5;6.970183498358888e-50
dlla9;delay;0.5;4.111551118861347e-170
dlla2;delay;0.5;2.8641865740747524e-227
cri_tvla_1;jitter;0;0.0
cri_tvla_2;jitter;0;1.1774831441094318e-200
dlla9;jitter;0;0.0
dlla2;jitter;0;0.0
cri_tvla_1;jitter;4;3.1150172885003087e-09
cri_tvla_2;jitter;4;2.8120964885597873e-22
dlla9;jitter;4;6.932589783908852e-30
dlla2;jitter;4;1.9959448614715157e-19
cri_tvla_1;jitter;8;4.076057864605016e-07
cri_tvla_2;jitter;8;9.47086389524554e-13
dlla9;jitter;8;0.004452242005060684
dlla2;jitter;8;0.28552895133985423
cri_tvla_1;jitter;12;1.06666019513716e-06
cri_tvla_2;jitter;12;5.4540962260991865e-11
dlla9;jitter;12;0.034525220246003525
dlla2;jitter;12;0.05451346756933735
cri_tvla_1;jitter;16;5.806469396402076e-05
cri_tvla_2;jitter;16;1.616394135282985e-08
dlla9;jitter;16;0.07932260553086419
dlla2;jitter;16;0.00770689498018745
cri_tvla_1;jitter;20;3.212072023662827e-05
cri_tvla_2;jitter;20;2.0420827746195367e-09
dlla9;jitter;20;0.0002793023154159781
dlla2;jitter;20;0.0001782155519818567
cri_tvla_1;jitter;24;8.225158024399313e-07
cri_tvla_2;jitter;24;7.128979133444582e-12
