method;pollution;param;p
dlla9;gauss;0;1.5991577145198467e-14
dlla2;gauss;0;5.915476528471667e-09
dlla9;gauss;2;9.649631250839285e-08
dlla2;gauss;2;2.5368679234597157e-06
dlla9;gauss;4;7.749577340515995e-06
dlla2;gauss;4;0.1807940647770906
dlla9;gauss;6;0.5839714331608094
dlla2;gauss;6;0.034024197632878846
dlla9;gauss;8;0.5973958380454122
dlla2;gauss;8;0.8880946493201523
dlla9;gauss;10;0.32123251249949825
dlla2;gauss;10;0.2715178888319014
dlla9;gauss;12;0.20280687035081474
dlla2;gauss;12;0.560429083270963
dlla9;gauss;14;0.33498175844773825
dlla2;gauss;14;0.8385146783656636
dlla9;gauss;0;6.437801723614946e-13
dlla2;gauss;0;7.772989522701831e-08
dlla9;gauss;2;7.313324170104707e-08
dlla2;gauss;2;7.333538466081642e-06
dlla9;gauss;4;0.002112788022884247
dlla2;gauss;4;0.02403532146075321
dlla9;gauss;6;0.42827756438483955
dlla2;gauss;6;0.09809443413738511
dlla9;gauss;8;0.7961221983408682
dlla2;gauss;8;0.055177400990157166
dlla9;gauss;10;0.22621676648888048
dlla2;gauss;10;0.2235418477449334
dlla9;gauss;12;0.8768064383129773
dlla2;gauss;12;0.16148532163433638
dlla9;gauss;14;0.22110717590010887
dlla2;gauss;14;0.5
dlla9;gauss;16;0.8109358623408375
dlla2;gauss;16;0.2014889952268754
dlla9;gauss;18;0.42018879273322884
dlla2;gauss;18;0.7530936565896136
dlla9;gauss;20;0.06578569393651004
dlla2;gauss;20;0.560429083270963
dlla9;gauss;22;0.6366149501502765
dlla2;gauss;22;0.702706308683739
dlla9;gauss;24;0.5612461100095474
dlla2;gauss;24;0.5
dlla9;gauss;26;0.020350421679763978
dlla2;gauss;26;0.4097897787440413
dlla9;gauss;28;0.6566027639380324
dlla2;gauss;28;0.6758666899971368
dlla9;gauss;30;0.9650047119167242
dlla2;gauss;30;0.9019055658626149
dlla9;gauss;32;0.8372750067511866
dlla2;gauss;32;0.006054641875284686
dlla9;gauss;34;0.3251957077035057
dlla2;gauss;34;0.8564262987129592
dlla9;gauss;36;0.39198752864683106
dlla2;gauss;36;0.3519196486230246
dlla9;gauss;38;0.4058063947660536
dlla2;gauss;38;0.38052038024011203
dlla9;gauss;40;0.2225749663047375
dlla2;gauss;40;0.2715178888319014
dlla9;gauss;0;4.92190124705571e-15
dlla2;gauss;0;8.491723756158223e-11
dlla9;gauss;2;3.7382020053812213e-07
dlla2;gauss;2;1.0331608424620206e-05
dlla9;gauss;4;0.00015288273199865789
dlla2;gauss;4;0.0015128485461268382
dlla9;gauss;6;0.05036151403545772
dlla2;gauss;6;0.16148532163433638
dlla9;gauss;8;0.3037455670569363
dlla2;gauss;8;0.4097897787440413
dlla9;gauss;10;0.6276669145788887
dlla2;gauss;10;0.1807940647770906
dlla9;gauss;12;0.7611441867862617
dlla2;gauss;12;0.4097897787440413
dlla9;gauss;14;0.7004660509448719
dlla2;gauss;14;0.2014889952268754
dlla9;gauss;16;0.4627349971056628
dlla2;gauss;16;0.6758666899971368
dlla9;gauss;18;0.6599125334994231
dlla2;gauss;18;0.08557551845852679
dlla9;gauss;20;0.8500397832037726
dlla2;gauss;20;0.5
dlla9;gauss;22;0.8173425679466294
dlla2;gauss;22;0.4097897787440413
dlla9;gauss;24;0.5559742126521021
dlla2;gauss;24;0.6480803513769754
dlla9;gauss;26;0.044806868851946687
dlla2;gauss;26;0.702706308683739
dlla9;gauss;28;0.743864561711892
dlla2;gauss;28;0.439570916729037
dlla9;gauss;30;0.4419866492089214
dlla2;gauss;30;0.560429083270963
dlla9;gauss;32;0.1444262157386492
dlla2;gauss;32;0.6480803513769754
dlla9;gauss;34;0.04202766554074115
dlla2;gauss;34;0.619479619759888
dlla9;gauss;36;0.1072284625205227
dlla2;gauss;36;0.2014889952268754
dlla9;gauss;38;0.5418130701441857
dlla2;gauss;38;0.16148532163433638
dlla9;gauss;40;0.9188388974926812
dlla2;gauss;40;0.1270538329604073
dlla9;gauss;0;1.7687634349573159e-16
dlla2;gauss;0;6.59471518833004e-12
dlla9;gauss;2;2.2823485136055548e-07
dlla2;gauss;2;0.0004110302328688633
dlla9;gauss;4;0.0011799331535475492
dlla2;gauss;4;0.047200174486128746
dlla9;gauss;6;0.34075951355014644
dlla2;gauss;6;0.006054641875284686
dlla9;gauss;8;0.9360091635508627
dlla2;gauss;8;0.16148532163433638
dlla9;gauss;10;0.612292178816091
dlla2;gauss;10;0.29729369131626104
dlla9;gauss;12;0.7774762735932377
dlla2;gauss;12;0.7284821111680986
dlla9;gauss;14;0.5162873349696138
dlla2;gauss;14;0.9144244815414733
dlla9;gauss;16;0.4078137983813923
dlla2;gauss;16;0.0742931114347062
dlla9;gauss;18;0.19288609109107588
dlla2;gauss;18;0.6758666899971368
