method;pollution;param;p
cri_tvla_1;gauss;0;1.3129395924562104e-54
cri_tvla_2;gauss;0;3.4894112839890994e-09
dlla9;gauss;0;2.7525710085775305e-169
dlla2;gauss;0;1.426062235324097e-49
cri_tvla_1;gauss;2;3.268207020764936e-51
cri_tvla_2;gauss;2;1.2449957205815115e-08
dlla9;gauss;2;1.750034334239383e-158
dlla2;gauss;2;2.253385540775225e-56
cri_tvla_1;gauss;4;1.2222845594960851e-45
cri_tvla_2;gauss;4;1.4840336373420554e-07
dlla9;gauss;4;6.367590722810699e-135
dlla2;gauss;4;4.755946889135307e-47
cri_tvla_1;gauss;6;1.782653115757233e-39
cri_tvla_2;gauss;6;3.1361889024980362e-06
dlla9;gauss;6;5.602140633529632e-124
dlla2;gauss;6;6.875909982109351e-40
cri_tvla_1;gauss;8;2.8746391337767776e-31
cri_tvla_2;gauss;8;0.00013549496864502598
dlla9;gauss;8;7.352753533625524e-89
dlla2;gauss;8;4.791963372743627e-33
cri_tvla_1;gauss;10;1.959213007377695e-24
cri_tvla_2;gauss;10;0.00034893251207285134
dlla9;gauss;10;1.5959163447361152e-87
dlla2;gauss;10;1.1204926917619186e-27
cri_tvla_1;gauss;12;5.451786927718317e-21
cri_tvla_2;gauss;12;0.008095812041822813
dlla9;gauss;12;3.5129329788481994e-66
dlla2;gauss;12;7.561519562372346e-22
cri_tvla_1;gauss;14;5.395671992240463e-17
cri_tvla_2;gauss;14;0.0012062688853236817
dlla9;gauss;14;1.0723132940911764e-67
dlla2;gauss;14;1.5294745163468413e-19
cri_tvla_1;gauss;16;4.8618255966786486e-14
cri_tvla_2;gauss;16;0.010783673702600586
dlla9;gauss;16;1.8904949454326046e-58
dlla2;gauss;16;6.523724360243506e-13
cri_tvla_1;gauss;18;3.189505345324397e-13
cri_tvla_2;gauss;18;0.0011509523034188042
dlla9;gauss;18;1.917743240784327e-55
dlla2;gauss;18;7.22589365935133e-12
cri_tvla_1;gauss;20;4.042632793124441e-10
cri_tvla_2;gauss;20;0.04598787173783495
dlla9;gauss;20;2.914377099521061e-48
dlla2;gauss;20;2.40926488864173e-15
cri_tvla_1;gauss;22;1.1261106990027688e-08
cri_tvla_2;gauss;22;0.03078559127054554
dlla9;gauss;22;4.615798026980034e-41
dlla2;gauss;22;2.40926488864173e-15
cri_tvla_1;gauss;24;1.3416913347692875e-09
cri_tvla_2;gauss;24;0.07246307379471244
dlla9;gauss;24;2.6392564029304518e-43
dlla2;gauss;24;1.2705175096298461e-09
