method;traces;pollution;param;p
cri_tvla_1;300000;gauss;0;0.04128500137159704
cri_tvla_2;300000;gauss;0;4.543363012721133e-16
dlla9;300000;gauss;0;0.0
dlla2;300000;gauss;0;0.0
cri_tvla_1;300000;gauss;1;0.007227682702228173
cri_tvla_2;300000;gauss;1;5.189696339468706e-21
dlla9;300000;gauss;1;0.0
dlla2;300000;gauss;1;0.0
cri_tvla_1;300000;gauss;2;0.0010029863474321239
cri_tvla_2;300000;gauss;2;1.8957903178187607e-34
dlla9;300000;gauss;2;3.325175063090862e-243
dlla2;300000;gauss;2;3.848710777999736e-163
cri_tvla_1;300000;gauss;3;0.005966957423421677
cri_tvla_2;300000;gauss;3;7.954956602212548e-20
dlla9;300000;gauss;3;2.805080229951462e-193
dlla2;300000;gauss;3;5.832481186888324e-104
cri_tvla_1;300000;gauss;4;0.002043399461689489
cri_tvla_2;300000;gauss;4;3.624289448049924e-21
dlla9;300000;gauss;4;7.73170738770731e-109
dlla2;300000;gauss;4;2.6437452224868744e-65
cri_tvla_1;300000;gauss;5;0.001966693922155135
cri_tvla_2;300000;gauss;5;3.683555930924191e-16
dlla9;300000;gauss;5;5.94405984247552e-85
dlla2;300000;gauss;5;8.054090860863392e-45
cri_tvla_1;300000;gauss;6;0.006979558196998951
cri_tvla_2;300000;gauss;6;6.018709655294508e-08
dlla9;300000;gauss;6;1.0072054168728591e-54
dlla2;300000;gauss;6;2.9909078648662884e-23
cri_tvla_1;300000;gauss;7;0.002843856675763948
cri_tvla_2;300000;gauss;7;4.533177126653939e-07
dlla9;300000;gauss;7;7.305769284812863e-12
dlla2;300000;gauss;7;4.656496967953276e-23
cri_tvla_1;300000;gauss;8;0.005883988788563
cri_tvla_2;300000;gauss;8;5.154209029122663e-10
dlla9;300000;gauss;8;0.00010462136590035567
dlla2;300000;gauss;8;2.2321716502869075e-05
cri_tvla_1;300000;gauss;9;0.0027639444096294714
cri_tvla_2;300000;gauss;9;1.0696656809272991e-05
dlla9;300000;gauss;9;0.10855365189990722
dlla2;300000;gauss;9;1.9709928701032558e-14
cri_tvla_1;300000;gauss;10;0.006419785212225028
cri_tvla_2;300000;gauss;10;2.5624915011810535e-11
dlla9;300000;gauss;10;0.1794028141228089
dlla2;300000;gauss;10;7.126756407551147e-09
cri_tvla_1;300000;gauss;11;0.0008871728273335321
cri_tvla_2;300000;gauss;11;0.003086601856172466
dlla9;300000;gauss;11;0.04784463425755125
dlla2;300000;gauss;11;0.00027907736382573535
cri_tvla_1;300000;gauss;12;0.006227912201759821
cri_tvla_2;300000;gauss;12;0.0004970169680275309
dlla9;300000;gauss;12;0.9877625354425092
dlla2;300000;gauss;12;0.012988229681363298
cri_tvla_1;300000;gauss;13;0.0033038076363954855
cri_tvla_2;300000;gauss;13;0.003662038681744653
dlla9;300000;gauss;13;0.21826075163987857
