,Profiled SCA
0,118.75
1,119.97
2,124.56
3,128.01
4,130.58
5,131.52
6,131.47
7,129.52
8,132.76
9,133.32
10,134.86
11,136.14
12,133.4
13,134.64
14,135.9
15,133.68
16,132.5
17,132.24
18,129.46
19,135.07
20,134.54
21,133.31
22,133.76
23,132.81
24,134.65
25,136.14
26,133.68
27,134.39
28,134.75
29,136.83
30,135.22
31,135.25
32,134.76
33,134.12
34,134.08
35,135.11
36,135.32
37,135.6
38,134.84
39,133.54
40,134.86
41,134.23
42,133.8
43,133.21
44,132.63
45,131.62
46,131.47
47,129.78
48,130.92
49,130.31
50,129.87
51,130.71
52,130.75
53,131.02
54,130.83
55,130.72
56,130.1
57,129.27
58,129.7
59,130.34
60,128.95
61,129.29
62,129.19
63,127.45
64,126.08
65,125.98
66,125.13
67,126.15
68,126.88
69,126.36
70,126.64
71,126.21
72,126.09
73,126.28
74,126.29
75,127.81
76,127.53
77,128.49
78,128.16
79,128.11
80,129.1
81,128.74
82,130.51
83,129.79
84,129.81
85,130.12
86,129.26
87,128.9
88,129.06
89,129.48
90,128.6
91,128.25
92,128.81
93,129.49
94,129.34
95,128.69
96,128.37
97,126.97
98,127.44
99,126.57
100,127.26
101,126.68
102,127.22
103,126.93
104,127.14
105,127.42
106,127.25
107,125.87
108,126.26
109,125.62
110,126.87
111,127.39
112,127.48
113,129.37
114,130.61
115,130.47
116,130.54
117,131.37
118,130.43
119,130.54
120,130.31
121,130.35
122,128.5
123,128.79
124,128.66
125,129.85
126,131.31
127,130.24
128,130.99
129,130.22
130,130.11
131,130.08
132,129.4
133,128.63
134,128.86
135,129.24
136,129.41
137,128.46
138,129.08
139,129.53
140,129.4
141,129.18
142,128.74
143,128.07
144,128.26
145,128.24
146,127.7
147,127.4
148,127.1
149,126.12
150,127.17
151,127.07
152,126.77
153,126.03
154,126.15
155,126.51
156,125.92
157,127.37
158,127.35
159,126.65
160,127.92
161,127.51
162,127.81
163,126.95
164,127.12
165,127.88
166,128.17
167,127.98
168,128.25
169,128.73
170,129.81
171,129.48
172,128.99
173,129.14
174,129.69
175,129.66
176,130.53
177,131.66
178,131.96
179,131.79
180,132.27
181,131.85
182,131.3
183,131.32
184,130.67
185,130.85
186,131.61
187,130.91
188,130.29
189,130.9
190,131.66
191,132.06
192,132.51
193,132.7
194,133.32
195,133.03
196,133.01
197,132.33
198,132.38
199,131.6
200,131.97
201,132.07
202,132.14
203,132.38
204,132.17
205,132.24
206,132.34
207,131.14
208,131.1
209,131.28
210,131.18
211,131.22
212,132.07
213,131.89
214,132.62
215,132.51
216,133.09
217,132.99
218,133.98
219,133.59
220,133.93
221,134.09
222,133.92
223,133.83
224,133.04
225,134.18
226,134.37
227,134.24
228,134.15
229,134.17
230,134.38
231,133.87
232,134.09
233,133.42
234,133.86
235,134.46
236,134.56
237,135.11
238,135.37
239,134.94
240,134.71
241,134.23
242,133.95
243,134.6
244,135.06
245,135.7
246,135.61
247,135.39
248,135.56
249,135.75
250,136.0
251,136.19
252,135.57
253,135.93
254,135.37
255,135.39
256,135.67
257,135.55
258,135.48
259,135.6
260,134.26
261,134.59
262,135.83
