,Profiled SCA
0,121.61
1,131.32
2,123.67
3,122.34
4,120.32
5,125.77
6,119.83
7,115.11
8,112.24
9,112.16
10,117.45
11,113.21
12,115.28
13,116.46
14,114.67
15,111.78
16,110.79
17,110.65
18,107.5
19,107.08
20,105.95
21,104.36
22,104.62
23,106.6
24,106.3
25,104.31
26,103.75
27,102.99
28,100.78
29,99.36
30,98.96
31,97.63
32,98.59
33,98.84
34,97.94
35,96.69
36,95.75
37,95.13
38,95.47
39,93.76
40,93.67
41,93.09
42,91.37
43,92.17
44,91.48
45,91.41
46,90.2
47,89.81
48,88.47
49,87.13
50,88.88
51,86.6
52,86.22
53,82.58
54,81.62
55,83.84
56,83.47
57,84.0
58,83.51
59,84.19
60,84.11
61,86.06
62,87.42
63,86.45
64,87.03
65,86.52
66,87.72
67,87.45
68,86.54
69,86.6
70,86.03
71,86.12
72,85.41
73,84.57
74,83.64
75,83.22
76,83.97
77,82.55
78,81.32
79,80.48
80,80.77
81,79.34
82,80.77
83,80.2
84,80.1
85,78.26
86,77.44
87,77.09
88,76.8
89,77.92
90,76.55
91,76.63
92,75.7
93,76.51
94,74.71
95,75.43
96,75.17
97,74.66
98,73.48
99,74.01
100,73.42
101,73.59
102,72.74
103,72.45
104,73.46
105,74.26
106,73.36
107,72.18
108,72.92
109,72.1
110,70.82
111,70.98
112,70.47
113,69.4
114,69.45
115,70.22
116,69.13
117,68.47
118,68.09
119,68.04
120,67.31
121,66.55
122,66.16
123,65.66
124,65.71
125,64.64
126,63.93
127,63.49
128,63.1
129,63.28
130,63.68
131,63.08
132,62.66
133,62.56
134,63.21
135,62.41
136,62.58
137,61.81
138,61.7
139,61.67
140,60.99
141,61.07
142,61.42
143,61.41
144,61.06
145,62.07
146,62.42
147,62.37
148,62.09
149,60.86
150,59.39
151,59.21
152,58.95
153,59.25
154,58.9
155,58.77
156,57.98
157,57.73
158,57.69
159,57.46
160,57.2
161,57.77
162,57.94
163,58.98
164,58.08
165,58.65
166,58.06
167,57.92
168,58.53
169,57.85
170,57.52
171,57.33
172,57.24
173,57.2
174,58.55
175,57.63
176,57.78
177,57.27
178,56.55
179,56.46
180,55.68
181,54.92
182,54.39
183,54.67
184,54.13
185,54.16
186,53.68
187,52.91
188,52.98
189,52.53
190,52.32
191,52.46
192,52.28
193,51.95
194,53.37
195,53.17
196,54.78
197,55.61
198,55.19
199,55.01
200,55.61
201,55.84
202,56.24
203,56.0
204,56.12
205,55.78
206,56.24
207,55.9
208,55.47
209,55.75
210,55.87
211,55.43
212,55.19
213,55.24
214,54.09
215,53.92
216,53.31
217,53.37
218,54.16
219,54.3
220,53.94
221,54.03
222,54.12
223,54.57
224,54.61
225,54.52
226,54.26
227,55.24
228,55.14
229,54.95
230,54.83
231,54.67
232,55.19
233,54.47
234,54.41
235,53.93
236,53.55
237,54.22
238,53.67
239,54.51
240,54.58
241,55.22
242,54.93
243,54.6
244,55.11
245,55.14
246,55.13
247,54.52
248,54.25
