,Profiled SCA
0,117.02
1,108.0
2,105.51
3,103.69
4,98.9
5,94.94
6,91.97
7,89.15
8,89.09
9,87.31
10,87.58
11,86.09
12,85.15
13,84.1
14,80.25
15,79.83
16,78.5
17,76.02
18,72.56
19,71.44
20,70.33
21,69.18
22,67.58
23,66.8
24,66.82
25,66.94
26,67.11
27,65.01
28,63.79
29,63.19
30,61.73
31,61.88
32,61.1
33,61.32
34,60.4
35,61.57
36,59.46
37,57.33
38,56.41
39,55.62
40,55.53
41,54.86
42,54.73
43,52.75
44,51.13
45,50.48
46,50.04
47,49.19
48,48.14
49,48.47
50,50.14
51,49.18
52,49.08
53,48.54
54,48.54
55,47.27
56,46.98
57,46.05
58,44.98
59,46.88
60,45.74
61,46.1
62,45.77
63,44.82
64,44.45
65,43.59
66,42.95
67,43.13
68,43.14
69,43.14
70,42.73
71,42.03
72,41.77
73,41.16
74,40.23
75,40.1
76,38.93
77,37.45
78,37.85
79,37.02
80,37.17
81,36.84
82,36.67
83,35.76
84,36.36
85,35.32
86,35.74
87,35.8
88,35.36
89,35.21
90,34.45
91,34.69
92,34.35
93,33.48
94,33.59
95,32.78
96,32.34
97,31.34
98,30.77
99,30.75
100,29.99
101,29.69
102,28.32
103,29.72
104,29.64
105,29.73
106,29.62
107,29.66
108,29.24
109,28.79
110,28.09
111,27.84
112,27.71
113,27.44
114,26.81
115,26.14
116,25.92
117,26.23
118,25.95
119,25.73
120,25.29
121,24.98
122,24.31
123,24.23
124,24.72
125,24.79
126,23.93
127,23.61
128,23.59
129,23.69
130,23.43
131,23.26
132,23.05
133,22.84
134,22.77
135,22.36
136,22.27
137,22.22
138,21.95
139,21.94
140,21.74
141,21.47
142,21.18
143,20.28
144,20.23
145,20.26
146,20.32
147,20.11
148,19.88
149,19.62
150,19.87
151,20.04
152,20.17
153,19.09
154,19.32
155,18.94
156,18.67
157,19.29
158,19.29
159,18.76
160,18.45
161,18.02
162,17.73
163,17.68
164,17.34
165,16.78
166,16.78
167,16.1
168,15.7
169,15.29
170,15.13
171,14.76
172,14.71
173,14.61
174,14.48
175,14.2
176,13.93
177,14.5
178,14.24
179,14.07
180,13.94
181,13.81
182,13.58
183,13.31
184,13.06
185,12.83
186,12.68
187,12.21
188,12.49
189,11.93
190,11.86
191,11.66
192,11.51
193,11.11
194,11.03
195,10.97
196,10.68
197,10.99
198,11.12
199,10.79
200,10.71
201,10.67
202,10.48
203,10.22
204,10.02
205,9.93
206,10.08
207,9.7
208,9.64
209,9.52
210,9.43
211,9.22
212,9.29
213,9.05
214,8.82
215,8.88
216,9.09
217,8.91
218,8.91
219,8.83
220,8.68
221,8.39
222,8.27
223,8.16
224,8.29
225,8.05
226,8.0
227,8.15
228,8.09
229,8.08
230,8.07
231,7.83
232,7.77
233,7.66
234,7.68
235,7.63
236,7.65
237,7.3
238,7.19
239,7.05
240,6.84
241,6.82
242,7.15
243,7.02
244,6.83
245,6.78
246,6.84
247,6.84
248,6.97
249,6.69
250,6.52
251,6.57
252,6.5
253,6.64
254,6.46
255,6.43
256,6.22
257,5.95
258,5.94
259,5.85
260,5.82
261,5.57
262,5.5
263,5.46
264,5.47
265,5.51
266,5.49
267,5.46
268,5.31
269,5.24
270,5.22
271,5.15
272,5.21
273,5.13
274,5.15
275,5.01
276,4.92
277,4.79
278,4.84
279,4.71
280,4.65
281,4.69
282,4.6
283,4.67
284,4.77
285,4.72
286,4.82
287,4.84
288,4.94
289,5.1
290,5.12
291,5.12
292,4.95
293,5.01
294,4.82
295,4.82
296,4.85
297,4.6
298,4.53
299,4.32
300,4.28
301,4.14
302,4.25
303,4.23
304,4.2
305,4.19
306,4.23
307,4.21
308,4.22
309,4.12
310,4.13
311,4.1
312,4.09
313,4.03
314,3.92
315,3.94
316,3.82
317,3.78
318,3.78
319,3.77
320,3.7
321,3.77
322,3.73
323,3.76
324,3.77
325,3.75
326,3.75
327,3.79
328,3.79
329,3.61
330,3.52
331,3.43
332,3.42
333,3.38
334,3.36
335,3.39
336,3.36
337,3.31
338,3.29
339,3.31
340,3.35
341,3.28
342,3.24
343,3.26
344,3.22
345,3.19
346,3.19
347,3.17
348,3.23
349,3.18
350,3.14
351,3.12
352,3.03
353,3.04
354,3.08
355,3.03
356,3.01
357,2.95
358,2.92
359,2.87
360,2.81
361,2.76
362,2.69
363,2.67
364,2.67
365,2.56
366,2.5
367,2.42
368,2.42
369,2.36
370,2.35
371,2.38
372,2.4
373,2.4
374,2.41
375,2.44
376,2.39
377,2.36
378,2.29
379,2.25
380,2.25
381,2.28
382,2.24
383,2.23
384,2.24
385,2.21
386,2.16
387,2.22
388,2.15
389,2.03
390,2.06
391,2.05
392,2.09
393,2.08
394,2.05
395,2.02
396,1.98
397,1.96
398,1.96
399,1.92
400,1.87
401,1.86
402,1.84
403,1.85
404,1.83
405,1.8
406,1.78
407,1.8
408,1.8
409,1.78
410,1.8
411,1.79
412,1.81
413,1.8
414,1.79
415,1.76
416,1.77
417,1.74
418,1.73
419,1.7
420,1.71
421,1.71
422,1.68
423,1.68
424,1.66
425,1.72
426,1.69
427,1.7
428,1.69
429,1.67
430,1.7
431,1.68
432,1.66
433,1.64
434,1.7
435,1.71
436,1.67
437,1.67
438,1.71
439,1.73
440,1.75
441,1.77
442,1.8
443,1.77
444,1.77
445,1.77
446,1.78
447,1.77
448,1.8
449,1.77
450,1.72
451,1.74
452,1.72
453,1.69
454,1.7
455,1.65
456,1.66
457,1.72
458,1.7
459,1.65
460,1.63
461,1.65
462,1.64
463,1.62
464,1.61
465,1.6
466,1.57
467,1.56
468,1.56
469,1.53
470,1.51
471,1.52
472,1.52
473,1.51
474,1.49
475,1.5
476,1.5
477,1.48
478,1.45
479,1.44
480,1.46
481,1.49
482,1.48
483,1.47
484,1.47
485,1.47
486,1.48
487,1.47
488,1.45
489,1.44
490,1.42
491,1.47
492,1.47
493,1.47
494,1.48
495,1.49
496,1.45
497,1.37
498,1.4
499,1.4
500,1.38
501,1.38
502,1.39
503,1.38
504,1.38
505,1.37
506,1.34
507,1.35
508,1.36
509,1.36
510,1.35
511,1.36
512,1.37
513,1.35
514,1.34
515,1.34
516,1.35
517,1.35
518,1.36
519,1.34
520,1.34
521,1.33
522,1.32
523,1.31
524,1.29
525,1.31
526,1.31
527,1.31
528,1.36
529,1.33
530,1.33
531,1.32
532,1.32
533,1.3
534,1.34
535,1.32
536,1.28
537,1.29
538,1.29
539,1.29
540,1.3
541,1.31
542,1.31
543,1.28
544,1.3
545,1.28
546,1.27
547,1.26
548,1.25
549,1.27
550,1.27
551,1.26
552,1.25
553,1.27
554,1.25
555,1.26
556,1.26
557,1.27
558,1.27
559,1.25
560,1.24
561,1.22
562,1.23
563,1.21
564,1.22
565,1.22
566,1.2
567,1.17
568,1.16
569,1.16
570,1.14
571,1.14
572,1.14
573,1.16
574,1.15
575,1.14
576,1.14
577,1.14
578,1.15
579,1.13
580,1.14
581,1.15
582,1.14
583,1.14
584,1.15
585,1.14
586,1.13
587,1.14
588,1.13
589,1.16
590,1.14
591,1.13
592,1.12
593,1.11
594,1.12
595,1.12
596,1.12
597,1.12
598,1.12
599,1.13
600,1.13
601,1.14
602,1.13
603,1.17
604,1.16
605,1.16
606,1.14
607,1.13
608,1.12
609,1.12
610,1.12
611,1.11
612,1.11
613,1.1
614,1.1
615,1.1
616,1.1
617,1.1
618,1.1
619,1.08
620,1.09
621,1.09
622,1.08
623,1.09
624,1.11
625,1.1
626,1.1
627,1.08
628,1.07
629,1.08
630,1.08
631,1.09
632,1.08
633,1.09
634,1.09
635,1.08
636,1.09
637,1.1
638,1.1
639,1.11
640,1.1
641,1.08
642,1.08
643,1.08
644,1.08
645,1.08
646,1.07
647,1.07
648,1.08
649,1.07
650,1.07
651,1.08
652,1.09
653,1.08
654,1.06
655,1.06
656,1.07
657,1.11
658,1.11
659,1.11
660,1.12
661,1.1
662,1.1
663,1.1
664,1.11
665,1.11
666,1.11
667,1.11
668,1.11
669,1.11
670,1.12
671,1.12
672,1.12
673,1.12
674,1.12
675,1.1
676,1.1
677,1.1
678,1.09
679,1.09
680,1.09
681,1.11
682,1.1
683,1.12
684,1.12
685,1.11
686,1.1
687,1.1
688,1.1
689,1.09
690,1.08
691,1.08
692,1.09
693,1.09
694,1.09
695,1.09
696,1.08
697,1.09
698,1.09
699,1.1
700,1.09
701,1.09
702,1.09
703,1.09
704,1.09
705,1.09
706,1.09
707,1.09
708,1.08
709,1.09
710,1.08
711,1.08
712,1.09
713,1.09
714,1.08
715,1.07
716,1.08
717,1.08
718,1.09
719,1.08
720,1.08
721,1.07
722,1.08
723,1.07
724,1.07
725,1.07
726,1.08
727,1.08
728,1.07
729,1.07
730,1.07
731,1.07
732,1.07
733,1.07
734,1.07
735,1.07
736,1.07
737,1.07
738,1.07
739,1.07
740,1.07
741,1.07
742,1.07
743,1.07
744,1.07
745,1.07
746,1.07
747,1.06
748,1.05
749,1.05
750,1.05
751,1.05
752,1.05
753,1.05
754,1.05
755,1.05
756,1.05
757,1.06
758,1.06
759,1.06
760,1.06
761,1.06
762,1.06
763,1.06
764,1.07
765,1.06
766,1.05
767,1.05
768,1.06
769,1.07
770,1.06
771,1.06
772,1.06
773,1.06
774,1.06
775,1.06
776,1.04
777,1.04
778,1.04
779,1.04
780,1.04
781,1.04
782,1.04
783,1.04
784,1.04
785,1.04
786,1.04
787,1.04
788,1.04
789,1.04
790,1.04
791,1.04
792,1.04
793,1.04
794,1.04
795,1.03
796,1.03
797,1.03
798,1.03
799,1.03
800,1.03
801,1.03
802,1.03
803,1.03
804,1.02
805,1.03
806,1.02
807,1.02
808,1.02
809,1.02
810,1.02
811,1.02
812,1.02
813,1.02
814,1.02
815,1.02
816,1.02
817,1.01
818,1.01
819,1.01
820,1.01
821,1.01
822,1.01
823,1.01
824,1.02
825,1.02
826,1.02
827,1.02
828,1.02
829,1.02
830,1.02
831,1.02
832,1.02
833,1.02
834,1.02
835,1.02
836,1.02
837,1.02
838,1.02
839,1.02
840,1.02
841,1.02
842,1.02
843,1.02
844,1.02
845,1.02
846,1.02
847,1.02
848,1.02
849,1.02
850,1.02
851,1.02
852,1.02
853,1.02
854,1.02
855,1.02
856,1.02
857,1.01
858,1.02
859,1.02
860,1.02
861,1.02
862,1.02
863,1.02
864,1.01
865,1.02
866,1.02
867,1.02
868,1.01
869,1.01
870,1.01
871,1.01
872,1.01
873,1.01
874,1.01
875,1.01
876,1.01
877,1.01
878,1.01
879,1.01
880,1.01
881,1.0
882,1.0
883,1.0
884,1.0
885,1.0
886,1.0
887,1.0
888,1.0
889,1.0
890,1.0
891,1.0
892,1.01
893,1.0
894,1.0
895,1.0
896,1.01
897,1.01
898,1.01
899,1.01
900,1.0
901,1.0
902,1.0
903,1.0
904,1.0
905,1.0
906,1.0
907,1.0
908,1.02
909,1.02
910,1.01
911,1.02
912,1.02
913,1.02
914,1.03
915,1.03
916,1.02
917,1.02
918,1.03
919,1.03
920,1.03
921,1.03
922,1.03
923,1.02
924,1.02
925,1.02
926,1.01
927,1.02
928,1.01
929,1.01
930,1.01
931,1.01
932,1.01
933,1.01
934,1.01
935,1.02
936,1.02
937,1.02
938,1.02
939,1.02
940,1.02
941,1.02
942,1.02
943,1.02
944,1.02
945,1.02
946,1.01
947,1.01
948,1.01
949,1.01
950,1.01
951,1.01
952,1.01
953,1.01
954,1.01
955,1.01
956,1.01
957,1.01
958,1.01
959,1.01
960,1.01
961,1.01
962,1.01
963,1.01
964,1.01
965,1.01
966,1.01
967,1.01
968,1.01
969,1.01
970,1.01
971,1.01
972,1.01
973,1.01
974,1.01
975,1.01
976,1.01
977,1.01
978,1.01
979,1.01
980,1.01
981,1.01
982,1.0
983,1.0
984,1.0
985,1.0
986,1.0
987,1.0
988,1.0
989,1.0
990,1.0
991,1.0
992,1.0
993,1.0
994,1.0
995,1.0
996,1.0
997,1.0
998,1.0
999,1.0
