method;pollution;param;p
tvla_t_1;desync;0;1.4739979416446688e-12
tvla_t_2;desync;0;0.001525924769703659
tvla_t_3;desync;0;0.2638777578580204
dlla_open;desync;0;5.937448962333028e-113
dlla_wegener;desync;0;2.8818152514992164e-45
tvla_t_1;desync;10;1.1031697192853481e-11
tvla_t_2;desync;10;0.003932658063801077
tvla_t_3;desync;10;0.19975448834441253
dlla_open;desync;10;3.924414846672152e-142
dlla_wegener;desync;10;1.039091181242918e-31
tvla_t_1;desync;20;2.664792743888466e-13
tvla_t_2;desync;20;0.002254460029666068
tvla_t_3;desync;20;0.2031925232603221
dlla_open;desync;20;2.706197489802051e-153
dlla_wegener;desync;20;3.3654012919634834e-31
tvla_t_1;desync;30;4.5124468445904727e-13
tvla_t_2;desync;30;0.0015708608183252603
tvla_t_3;desync;30;0.17678050098560671
dlla_open;desync;30;1.7009321029205574e-124
dlla_wegener;desync;30;3.425608256810075e-30
tvla_t_1;desync;40;2.1921826366838663e-11
tvla_t_2;desync;40;0.0008399265305003147
tvla_t_3;desync;40;0.14643747627509326
dlla_open;desync;40;9.865955308157465e-108
dlla_wegener;desync;40;4.761329812634828e-49
tvla_t_1;desync;50;1.1517804762398483e-10
tvla_t_2;desync;50;0.0006399397718067399
tvla_t_3;desync;50;0.33101187480164984
dlla_open;desync;50;9.339304463689906e-129
dlla_wegener;desync;50;1.2146576251028822e-41
tvla_t_1;desync;60;1.3147001765224355e-09
tvla_t_2;desync;60;0.0008630780935029962
tvla_t_3;desync;60;0.2971903545593883
dlla_open;desync;60;2.854469927849225e-121
dlla_wegener;desync;60;4.846035841502109e-44
tvla_t_1;desync;70;4.282193060309542e-11
tvla_t_2;desync;70;0.00018514731673229825
tvla_t_3;desync;70;0.26742432238398733
dlla_open;desync;70;2.8235435958087266e-123
dlla_wegener;desync;70;3.17624928716035e-32
tvla_t_1;desync;80;1.5733717375874997e-11
tvla_t_2;desync;80;9.608295372892161e-05
tvla_t_3;desync;80;0.11238293972613077
dlla_open;desync;80;1.8643080976546142e-116
dlla_wegener;desync;80;3.565827351861134e-38
tvla_t_1;desync;90;1.110404979951276e-10
tvla_t_2;desync;90;0.0023254424690576907
tvla_t_3;desync;90;0.06300263383735198
dlla_open;desync;90;3.5731519982677544e-124
dlla_wegener;desync;90;3.17624928716035e-32
tvla_t_1;desync;100;5.159007636012556e-10
tvla_t_2;desync;100;0.00019452184217512824
tvla_t_3;desync;100;0.1332132418000733
dlla_open;desync;100;5.254395944229431e-131
dlla_wegener;desync;100;7.292286385569014e-35
tvla_t_1;desync;110;9.137683480169143e-10
tvla_t_2;desync;110;2.432884024876567e-06
tvla_t_3;desync;110;0.3330943952316391
dlla_open;desync;110;9.970314824952478e-133
dlla_wegener;desync;110;3.565827351861134e-38
tvla_t_1;desync;120;4.260973968931331e-09
tvla_t_2;desync;120;0.0002923909170629694
tvla_t_3;desync;120;0.1374278368203696
dlla_open;desync;120;3.077112447846895e-120
dlla_wegener;desync;120;2.8402444239693933e-27
tvla_t_1;desync;130;1.5944448040953784e-07
tvla_t_2;desync;130;4.036561199994196e-06
tvla_t_3;desync;130;0.3222838635604053
dlla_open;desync;130;5.111544531993552e-105
dlla_wegener;desync;130;2.5083581035313806e-34
