,Profiled SCA
0,138.6
1,130.56
2,127.25
3,125.88
4,127.31
5,123.93
6,121.52
7,115.63
8,114.12
9,110.95
10,114.95
11,107.39
12,106.11
13,109.11
14,106.13
15,110.07
16,110.78
17,111.51
18,110.12
19,109.02
20,109.37
21,108.94
22,107.16
23,109.1
24,107.33
25,108.32
26,110.29
27,111.09
28,109.29
29,107.6
30,106.12
31,104.9
32,104.8
33,105.28
34,103.93
35,106.62
36,105.21
37,104.19
38,103.21
39,103.71
40,105.7
41,106.93
42,105.81
43,106.67
44,106.91
45,108.28
46,108.75
47,108.64
48,108.96
49,108.27
50,108.65
51,110.53
52,110.75
53,109.76
54,110.0
55,109.07
56,107.71
57,107.48
58,107.65
59,106.82
60,106.34
61,106.08
62,105.11
63,104.32
64,104.74
65,103.88
66,102.41
67,101.99
68,102.47
69,103.82
70,105.59
71,104.5
72,103.77
73,103.29
74,101.4
75,101.61
76,101.25
77,100.56
78,98.9
79,97.76
80,96.8
81,96.7
82,99.3
83,98.22
84,99.09
85,98.52
86,97.85
87,97.0
88,98.29
89,97.63
90,98.4
91,97.29
92,98.45
93,99.28
94,99.08
95,100.16
96,99.27
97,100.5
98,100.94
99,100.65
100,101.29
101,101.57
102,101.5
103,101.13
104,102.37
105,102.27
106,101.52
107,101.87
108,101.99
109,102.3
110,102.4
111,102.02
112,101.23
113,100.74
114,100.62
115,99.67
116,99.59
117,98.65
118,98.55
119,98.85
120,98.16
121,97.84
122,97.68
123,96.34
124,96.1
125,96.16
126,95.47
127,94.88
128,94.74
129,95.46
130,96.12
131,95.11
132,95.75
133,97.73
134,97.54
135,96.72
136,96.36
137,96.64
138,95.99
139,95.3
140,95.67
141,95.16
142,96.38
143,95.65
144,95.0
145,94.86
146,95.2
147,94.33
148,93.93
149,94.17
150,93.4
151,93.02
152,93.59
153,93.24
154,93.67
155,94.39
156,92.79
157,92.87
158,93.0
159,92.21
160,92.61
161,92.8
162,92.17
163,91.76
164,92.62
165,92.92
166,92.17
167,92.29
168,92.56
169,91.95
170,91.79
171,91.86
172,91.67
173,91.98
174,91.39
175,91.7
176,91.78
177,90.23
178,91.18
179,91.01
180,90.97
181,90.38
182,90.12
183,90.68
184,90.77
185,90.58
186,90.75
187,90.88
188,90.77
189,91.06
190,90.63
191,91.81
192,91.7
193,92.07
194,91.73
195,90.47
196,91.63
197,91.53
198,90.65
199,90.86
200,91.17
201,91.47
202,92.12
203,92.82
204,93.47
205,92.58
206,92.95
207,93.28
208,93.45
209,93.71
210,94.73
211,94.58
212,93.66
213,93.06
214,92.7
215,92.62
216,92.73
217,93.02
218,92.9
219,92.57
220,92.25
221,91.64
222,91.05
223,91.62
224,91.25
225,90.47
226,90.96
227,90.46
228,90.86
229,91.19
230,90.95
231,90.85
232,90.65
233,90.61
234,89.88
235,89.36
236,89.23
237,88.44
238,88.31
239,88.18
240,87.47
241,87.93
242,87.9
243,87.54
244,87.22
245,88.39
246,87.75
247,87.59
248,87.55
249,87.22
250,87.27
251,87.73
252,87.22
253,86.84
254,86.97
255,87.49
256,88.07
257,88.11
258,87.8
259,87.74
260,88.78
261,88.34
262,88.91
263,88.8
264,88.14
265,88.67
266,88.24
267,88.43
268,88.06
269,87.7
270,87.78
271,87.86
272,87.76
273,88.04
274,87.15
275,87.64
276,87.57
277,88.79
278,88.97
279,88.74
280,88.5
281,88.36
282,88.23
283,87.27
284,87.8
285,87.77
286,87.88
