,Profiled SCA
0,120.81
1,118.98
2,119.65
3,115.3
4,111.24
5,111.78
6,111.22
7,109.3
8,106.59
9,108.74
10,106.61
11,105.35
12,102.52
13,100.95
14,97.15
15,96.19
16,94.02
17,90.96
18,89.43
19,88.32
20,87.42
21,87.69
22,86.82
23,86.92
24,85.6
25,84.23
26,83.71
27,82.53
28,81.4
29,79.06
30,78.89
31,76.85
32,74.57
33,75.81
34,75.76
35,75.26
36,75.42
37,75.74
38,74.94
39,73.09
40,71.32
41,71.11
42,68.85
43,66.7
44,65.41
45,63.47
46,63.55
47,62.61
48,61.41
49,59.37
50,58.89
51,58.27
52,58.17
53,58.92
54,57.61
55,56.79
56,55.52
57,57.9
58,56.89
59,56.04
60,55.25
61,53.31
62,51.77
63,50.92
64,50.7
65,49.27
66,48.55
67,48.3
68,47.54
69,46.64
70,46.63
71,45.81
72,46.11
73,45.55
74,45.76
75,46.42
76,46.46
77,46.86
78,46.71
79,46.04
80,45.74
81,46.03
82,44.79
83,43.64
84,43.59
85,43.65
86,42.61
87,42.73
88,42.06
89,42.26
90,40.4
91,40.5
92,40.63
93,40.54
94,39.74
95,39.78
96,39.6
97,39.57
98,39.55
99,39.21
100,38.36
101,38.06
102,37.15
103,37.01
104,36.97
105,36.8
106,37.37
107,36.71
108,36.76
109,37.48
110,37.58
111,37.13
112,36.83
113,37.31
114,37.8
115,37.0
116,36.29
117,36.35
118,34.97
119,35.26
120,35.86
121,35.41
122,35.17
123,35.36
124,35.01
125,34.7
126,34.71
127,34.82
128,35.38
129,34.95
130,34.81
131,34.62
132,34.39
133,33.73
134,33.66
135,33.71
136,33.46
137,33.53
138,32.92
139,32.83
140,32.35
141,31.28
142,31.2
143,30.77
144,30.74
145,30.7
146,30.34
147,30.33
148,30.14
149,29.83
150,29.79
151,30.08
152,29.86
153,29.72
154,29.55
155,28.96
156,28.92
157,28.46
158,28.17
159,28.06
160,27.89
161,27.52
162,26.99
163,26.55
164,26.14
165,26.41
166,26.5
167,26.85
168,26.74
169,26.12
170,26.38
171,26.65
172,26.67
173,26.53
174,26.13
175,25.18
176,25.13
177,25.08
178,25.39
179,25.13
180,25.08
181,24.81
182,24.42
183,23.94
184,23.79
185,23.53
186,23.4
187,22.57
188,22.42
189,22.59
190,22.08
191,22.13
192,21.75
193,21.69
194,21.15
195,21.05
196,20.89
197,20.98
198,21.32
199,21.5
200,21.69
201,21.58
202,21.87
203,21.5
204,21.86
205,21.66
206,21.12
207,20.98
208,20.53
209,20.73
210,20.38
211,20.37
212,20.14
213,19.97
214,20.05
215,19.77
216,19.39
217,18.95
218,18.76
219,18.99
220,18.74
221,18.19
222,17.96
223,17.91
224,17.83
225,17.78
226,17.25
227,16.95
228,17.38
229,17.22
230,16.9
231,16.79
232,17.15
233,17.01
234,16.61
235,16.51
236,16.23
237,16.45
238,16.5
239,16.58
240,16.71
241,16.7
242,16.18
243,16.16
244,16.02
245,15.85
246,15.69
247,15.58
248,15.64
249,15.7
250,15.63
251,15.65
252,15.46
253,15.74
254,15.68
255,15.44
256,14.9
257,14.61
258,14.65
259,14.83
260,14.62
261,15.04
262,14.84
263,14.79
264,14.81
265,14.49
266,14.21
267,14.05
268,14.06
269,13.7
270,13.56
271,13.42
272,13.25
273,13.08
274,12.75
275,12.66
276,12.73
277,12.52
278,12.29
279,12.82
280,12.67
281,12.5
282,12.17
283,12.36
284,12.26
285,12.12
286,11.93
287,11.78
288,11.67
289,11.66
290,11.57
291,11.82
292,11.51
293,11.29
294,11.26
295,11.32
296,11.1
297,11.23
298,11.13
299,10.82
300,10.89
301,10.94
302,10.73
303,10.69
304,10.46
305,10.63
306,10.72
307,10.26
308,10.26
309,10.21
310,10.04
311,9.97
312,9.93
313,9.64
314,9.67
315,9.5
316,9.31
317,8.95
318,9.05
319,8.98
320,8.89
321,8.76
322,8.81
323,8.79
324,8.95
325,8.81
326,8.83
327,8.83
328,8.63
329,8.63
330,8.55
331,8.77
332,8.67
333,8.44
334,8.42
335,8.25
336,8.17
337,8.18
338,8.07
339,8.04
340,7.91
341,7.89
342,7.85
343,7.69
344,7.49
345,7.51
346,7.37
347,7.31
348,7.24
349,7.29
350,7.21
351,7.01
352,6.93
353,6.94
354,6.94
355,6.92
356,6.94
357,7.07
358,6.99
359,6.95
360,6.92
361,6.89
362,6.83
363,6.71
364,6.71
365,6.49
366,6.28
367,6.38
368,6.48
369,6.27
370,6.11
371,6.04
372,6.12
373,6.14
374,6.01
375,5.88
376,5.72
377,5.65
378,5.77
379,5.79
380,5.87
381,5.91
382,6.01
383,5.75
384,5.83
385,5.63
386,5.73
387,5.66
388,5.53
389,5.51
390,5.37
391,5.25
392,5.59
393,5.69
394,5.58
395,5.55
396,5.43
397,5.48
398,5.48
399,5.44
400,5.3
401,5.45
402,5.51
